Sample	Name-Deploy_Cartr	Deployment	Cartridge_ID	sites	replicates	site_altname	Station	controls	Volume_liter	lat	long	Bayside	Habitat	Site-type	Date	Start Time (ET)	End Time (ET)	Night/ Day	Datecode	Year	Month	Day	DO	Temperature	Salinity	Time	Weather
1.Aug_S1_L002	8.1_	8	1	15	8_15	15	OLD FORT POND	NA	0.318	40.881638	-72.440168	E	OPEN WATER	New	9/18/24	14:43:52	14:54:11	Day	20240918	2024	9	18					
1.Feb_S1_L002	2.1_	2	1	15	2_15	15	OLD FORT POND	NA	0.7	40.881657	-72.440188	E	OPEN WATER	New	9/11/24	15:30:44	15:41:44	Day	20240911	2024	9	11					
1.Jul_S1_L002	7.1_	7	1	15	7_15	15	OLD FORT POND	NA	0.368	40.881638	-72.440168	E	OPEN WATER	New	9/17/24	7:45:24	7:56:44	Day	20240917	2024	9	17					
1.May_S1_L002	5.1_	5	1	15	5_15	15	OLD FORT POND	NA	0.388	40.881638	-72.440168	E	OPEN WATER	New	9/15/24	7:13:19	7:25:01	Day	20240915	2024	9	15					
2.Apr_S1_L002	4.2_	4	2	10	4_10a	10	WEST MID BAY	NA	0.7	40.838014	-72.536818	W	OPEN WATER	Trawl	9/13/24	19:25:56	19:37:37	Night	20240913	2024	9	13					
2.Aug_S1_L002	8.2_	8	2	20	8_20	20	EAST SOUTH BAY	NA	0.7	40.86892	-72.4441	E	OPEN WATER	New	9/18/24	15:22:37	15:34:58	Day	20240918	2024	9	18					
2.Feb_S1_L002	2.2_	2	2	28	2_28	T2	BRIDGE EELGRASS	NA	0.7	40.844827	-72.508885	W	EELGRASS	Shallow	9/11/24	18:12:43	18:24:33	Day	20240911	2024	9	11					
2.Jan_S1_L001	1.2_	1	2	10	1_10	10	WEST MID BAY	NA	0.719	40.837915	-72.536772	W	OPEN WATER	Trawl	9/10/24	11:07:36	11:21:00	Day	20240910	2024	9	10					
2.Jul_S1_L002	7.2_	7	2	15	7_15	15	OLD FORT POND	NA	0.391	40.881638	-72.440168	E	OPEN WATER	New	9/17/24	7:56:54	8:09:00	Day	20240917	2024	9	17					
2.Jun_S1_L002	6.2_	6	2	28	6_28	T2	BRIDGE EELGRASS	NA	0.7	40.84476	-72.50889	W	EELGRASS	Shallow	9/16/24	8:38:41	8:50:53	Day	20240916	2024	9	16					
2.May_S1_L002	5.2_	5	2	15	5_15	15	OLD FORT POND	NA	0.236	40.881638	-72.440168	E	OPEN WATER	New	9/15/24	7:27:33	7:43:08	Day	20240915	2024	9	15					
3.Apr_S1_L002	4.3_	4	3	12	4_12a	12	PINE NECK	NA	0.7	40.833474	-72.552525	W	OPEN WATER	Trawl	9/13/24	19:53:02	20:04:32	Night	20240913	2024	9	13					
3.Aug_S1_L002	8.3_	8	3	11	8_11a	11	SOUTH GRASS	NA	0.69	40.856276	-72.455988	E	OPEN WATER	Trawl	9/18/24	15:53:25	16:10:51	Day	20240918	2024	9	18					
3.Feb_S1_L002	2.3_	2	3	14	2_14	14	EW MID BAY	NA	0.7	40.843457	-72.518716	W	OPEN WATER	New	9/11/24	18:40:48	18:52:19	Day	20240911	2024	9	11					
3.Jul_S1_L002	7.3_	7	3	20	7_20a	20	EAST SOUTH BAY	NA	0.627	40.869005	-72.444101	E	OPEN WATER	New	9/17/24	8:25:00	8:43:00	Day	20240917	2024	9	17					
3.Jun_S1_L002	6.3_	6	3	28	6_28	T2	BRIDGE EELGRASS	NA	0.285	40.84476	-72.50889	W	EELGRASS	Shallow	9/16/24	8:51:54	9:10:53	Day	20240916	2024	9	16					
3.May_S1_L002	5.3_	5	3	7	5_7	7	LITTLE POND	NA	0.7	40.876297	-72.457371	E	OPEN WATER	Trawl	9/15/24	8:18:33	8:32:47	Day	20240915	2024	9	15					
4.Apr_S1_L002	4.4_	4	4	9	4_9a	9	DUNE ROAD	NA	0.7	40.828729	-72.531938	W	OPEN WATER	Trawl	9/13/24	20:26:02	20:37:00	Night	20240913	2024	9	13					
4.Aug_S1_L002	8.4_	8	4	11	8_11a	11	SOUTH GRASS	NA	0.543	40.856276	-72.455988	E	OPEN WATER	Trawl	9/18/24	16:12:53	16:33:32	Day	20240918	2024	9	18					
4.Feb_S1_L002	2.4_	2	4	24	2_24	Tiana	TIANA CLAM 	NA	0.7	40.86009	-72.537887	W	CLAM SANCTUARY	Shallow	9/11/24	19:32:46	19:44:37	Night	20240911	2024	9	11					
