Sample	Name-Deploy_Cartr	Deployment	Cartridge_ID	sites	replicates	site_altname	Station	controls	Volume_liter	lat	long	Bayside	Habitat	Site-type	Date	Start Time (ET)	End Time (ET)	Night/ Day	Datecode	Year	Month	Day	DO	Temperature	Salinity	Time	Weather
10.Aug_S1_L002	8.10_	8	10	30	8_30	T4	SHINNECOCK ROAD EEL GRASS	NA	0.7	40.858127	-72.49513	E	EELGRASS	Shallow	9/18/24	18:50:17	19:06:22	Night	20240918	2024	9	18					
10.Feb_S1_L002	2.10_	2	10	26	2_26	C4	CANAL REEF 4	NA	0.7	40.812303	-72.590097	W	OYSTER REEF	Shallow	9/11/24	22:45:33	22:57:13	Night	20240911	2024	9	11					
10.Jan_S1_L001	1.10_	1	10	3	1_3	3	INLET	NA	0.766	40.850855	-72.488632	E	OPEN WATER	Trawl	9/10/24	15:06:25	15:18:46	Day	20240910	2024	9	10					
10.Jul_S1_L002	7.10_	7	10	23	7_23	WC	WESSUCK CLAM 	NA	0.622	40.838628	-72.569971	W	CLAM SANCTUARY	Shallow	9/17/24	12:05:00	12:23:00	Day	20240917	2024	9	17					
10.May_S1_L002	5.10_	5	10	2	5_2	2	CORMORANT POINT	NA	0.7	40.862565	-72.493458	E	OPEN WATER	Trawl	9/15/24	11:57:24	12:09:36	Day	20240915	2024	9	15					
11.Aug_S1_L002	8.11_	8	11	2	8_2	2	CORMORANT POINT	NA	0.139	40.86266	-72.493587	E	OPEN WATER	Trawl	9/18/24	19:14:09	19:26:30	Night	20240918	2024	9	18					
11.Feb_S1_L002	2.11_	2	11	9	2_9	9	DUNE ROAD	NA	0.7	40.828729	-72.531938	W	OPEN WATER	Trawl	9/12/24	0:00:21	0:12:02	Night	20240912	2024	9	12					
11.Jan_S1_L002	1.11_	1	11	2	1_2	2	CORMORANT POINT	NA	0.536	40.862639	-72.493509	E	OPEN WATER	Trawl	9/10/24	15:33:10	15:42:59	Day	20240910	2024	9	10					
11.Jul_S1_L002	7.11_	7	11	16	7_16	16	SOAR SITE	NA	0.7	40.827813	-72.576158	W	OPEN WATER	New	9/17/24	12:40:52	12:55:46	Day	20240917	2024	9	17					
12.Apr_S1_L002	4.12_	4	12	7	4_7	7	LITTLE POND	NA	0.568	40.876243	-72.457363	E	OPEN WATER	Trawl	9/14/24	1:14:35	1:27:48	Night	20240914	2024	9	14					
12.Feb_S1_L002	2.12_	2	12	27	2_27	T1	TIANA BEACH EELGRASS	NA	0.7	40.833381	-72.536572	W	EELGRASS	Shallow	9/12/24	0:23:22	0:35:13	Night	20240912	2024	9	12					
12.Jan_S1_L002	1.12_	1	12	2	1_2	2	CORMORANT POINT	NA	0.527	40.862639	-72.493509	E	OPEN WATER	Trawl	9/10/24	15:44:20	15:54:19	Day	20240910	2024	9	10					
12.Jul_S1_L002	7.12_	7	12	16	7_16	16	SOAR SITE	NA	0.7	40.827813	-72.576158	W	OPEN WATER	New	9/17/24	12:59:09	13:11:30	Day	20240917	2024	9	17					
