Sample	Name-Deploy_Cartr	Deployment	Cartridge_ID	sites	replicates	site_altname	Station	controls	Volume_liter	lat	long	Bayside	Habitat	Site-type	Date	Start Time (ET)	End Time (ET)	Night/ Day	Datecode	Year	Month	Day	DO	Temperature	Salinity	Time	Weather
6.Jun_S1_L002	6.6_	6	6	24	6_24	Tiana	TIANA CLAM 	NA	0.7	40.86009	-72.537887	W	CLAM SANCTUARY	Shallow	9/16/24	10:19:10	10:31:12	Day	20240916	2024	9	16					
6.May_S1_L002	5.6_	5	6	13	5_13	13	EAST MID BAY	NA	0.7	40.868578	-72.474612	E	OPEN WATER	Trawl	9/15/24	9:51:45	10:07:51	Day	20240915	2024	9	15					
7.Apr_S1_L002	4.7_	4	7	3	4_3	3	INLET	NA	0.7	40.850866	-72.488569	E	OPEN WATER	Trawl	9/13/24	22:41:29	22:53:21	Night	20240913	2024	9	13					
7.Aug_S1_L002	8.7_	8	7	3	8_3	3	INLET	NA	0.7	40.850878	-72.488708	E	OPEN WATER	Trawl	9/18/24	17:40:33	17:52:14	Day	20240918	2024	9	18					
7.Feb_S1_L002	2.7_	2	7	22	2_22	22	WESSUCK OYSTER	NA	0.7	40.83968	-72.56623	W	OYSTER REEF	New	9/11/24	21:13:59	21:25:29	Night	20240911	2024	9	11					
7.Jan_S1_L001	1.7_	1	7	8	1_8	8	WEST TIANA	NA	0.758	40.848629	-72.548015	W	OPEN WATER	Trawl	9/10/24	13:26:53	13:38:34	Day	20240910	2024	9	10					
7.Jun_S1_L002	6.7_	6	7	8	6_8	8	WEST TIANA	NA	0.7	40.848629	-72.548015	W	OPEN WATER	Trawl	9/16/24	11:22:53	11:34:54	Day	20240916	2024	9	16					
7.Mar_S1_L002	3.7_	3	7	13	3_13	13	LITTLE POND	NA	0.7	40.868609	-72.474584	E	OPEN WATER	Trawl	9/12/24	16:42:30	16:54:01	Day	20240912	2024	9	12					
8.Apr_S1_L002	4.8_	4	8	2	4_2	2	CORMORANT POINT	NA	0.7	40.862639	-72.493509	E	OPEN WATER	Trawl	9/13/24	23:10:16	23:22:08	Night	20240913	2024	9	13					
8.Feb_S1_L002	2.8_	2	8	23	2_23	WC	WESSUCK CLAM 	NA	0.7	40.838677	-72.568717	W	CLAM SANCTUARY	Shallow	9/11/24	21:33:17	21:44:47	Night	20240911	2024	9	11					
8.Jul_S1_L002	7.8_	7	8	12	7_12	12	PINE NECK	NA	0.7	40.833473	-72.552485	W	OPEN WATER	Trawl	9/17/24	11:19:00	11:34:00	Day	20240917	2024	9	17					
8.May_S1_L002	5.8_	5	8	19	5_19	19	SHAGWONG	NA	0.7	40.878498	-72.493889	E	OPEN WATER	New	9/15/24	10:59:10	11:10:41	Day	20240915	2024	9	15					
9.Apr_S1_L002	4.9_	4	9	1	4_1	1	SHINNECOCK HILLS	NA	0.7	40.881043	-72.480417	E	OPEN WATER	Trawl	9/13/24	23:47:32	23:59:03	Night	20240913	2024	9	13					
9.Aug_S1_L002	8.9_	8	9	4	8_4a	4	PONQUOGUE BRIDGE	NA	0.7	40.846595	-72.500599	E	OPEN WATER	Trawl	9/18/24	18:13:34	18:25:25	Day	20240918	2024	9	18					
9.Feb_S1_L002	2.9_	2	9	16	2_16	16	SOAR SITE	NA	0.7	40.82784	-72.57621	W	OPEN WATER	New	9/11/24	22:07:48	22:19:19	Night	20240911	2024	9	11					
9.Jan_S1_L001	1.9_	1	9	4	1_4	4	PONQUOGUE BRIDGE	NA	0.691	40.84662	-72.500542	E	OPEN WATER	Trawl	9/10/24	14:43:04	14:55:15	Day	20240910	2024	9	10					
9.Jul_S1_L002	7.9_	7	9	23	7_23	WC	WESSUCK CLAM 	NA	0.7	40.838628	-72.569971	W	CLAM SANCTUARY	Shallow	9/17/24	11:52:00	12:03:00	Day	20240917	2024	9	17					
10.Aug_S1_L002	8.10_	8	10	30	8_30	T4	SHINNECOCK ROAD EEL GRASS	NA	0.7	40.858127	-72.49513	E	EELGRASS	Shallow	9/18/24	18:50:17	19:06:22	Night	20240918	2024	9	18					
10.Feb_S1_L002	2.10_	2	10	26	2_26	C4	CANAL REEF 4	NA	0.7	40.812303	-72.590097	W	OYSTER REEF	Shallow	9/11/24	22:45:33	22:57:13	Night	20240911	2024	9	11					
10.Jan_S1_L001	1.10_	1	10	3	1_3	3	INLET	NA	0.766	40.850855	-72.488632	E	OPEN WATER	Trawl	9/10/24	15:06:25	15:18:46	Day	20240910	2024	9	10					
10.Jul_S1_L002	7.10_	7	10	23	7_23	WC	WESSUCK CLAM 	NA	0.622	40.838628	-72.569971	W	CLAM SANCTUARY	Shallow	9/17/24	12:05:00	12:23:00	Day	20240917	2024	9	17					
10.May_S1_L002	5.10_	5	10	2	5_2	2	CORMORANT POINT	NA	0.7	40.862565	-72.493458	E	OPEN WATER	Trawl	9/15/24	11:57:24	12:09:36	Day	20240915	2024	9	15					
11.Aug_S1_L002	8.11_	8	11	2	8_2	2	CORMORANT POINT	NA	0.139	40.86266	-72.493587	E	OPEN WATER	Trawl	9/18/24	19:14:09	19:26:30	Night	20240918	2024	9	18					
11.Feb_S1_L002	2.11_	2	11	9	2_9	9	DUNE ROAD	NA	0.7	40.828729	-72.531938	W	OPEN WATER	Trawl	9/12/24	0:00:21	0:12:02	Night	20240912	2024	9	12					
11.Jan_S1_L002	1.11_	1	11	2	1_2	2	CORMORANT POINT	NA	0.536	40.862639	-72.493509	E	OPEN WATER	Trawl	9/10/24	15:33:10	15:42:59	Day	20240910	2024	9	10					
11.Jul_S1_L002	7.11_	7	11	16	7_16	16	SOAR SITE	NA	0.7	40.827813	-72.576158	W	OPEN WATER	New	9/17/24	12:40:52	12:55:46	Day	20240917	2024	9	17					
12.Apr_S1_L002	4.12_	4	12	7	4_7	7	LITTLE POND	NA	0.568	40.876243	-72.457363	E	OPEN WATER	Trawl	9/14/24	1:14:35	1:27:48	Night	20240914	2024	9	14					
12.Feb_S1_L002	2.12_	2	12	27	2_27	T1	TIANA BEACH EELGRASS	NA	0.7	40.833381	-72.536572	W	EELGRASS	Shallow	9/12/24	0:23:22	0:35:13	Night	20240912	2024	9	12					
