Sample	sites	replicates	site_altname	Station	controls	Volume_liter	lat	long	Bayside	Habitat	Site-type	Date	Start Time (ET)	End Time (ET)	Night/ Day	Datecode	Year	Month	Day	DO	Temperature	Salinity	Time	Weather
A.Blank_S1_L001	NA	Ablank	NA	NA	negative	0.75	NA	NA	NA	NA	Control	8/20/24	NA	NA	Day	20240820	2024	8	20	NA	NA	NA	NA	NA
AC4_S1_L001	26	AC4	C4	CANAL REEF 4	NA	0.75	40.81196667	-72.59031667	WEST	OYSTER REEF	Shallow	8/20/24	NA	NA	Day	20240820	2024	8	20	5.61	23.7	25	NA	NA
AC5_S1_L001	34	AC5	C5	CANAL REEF 5	NA	0.75	40.81168333	-72.59206667	WEST	OYSTER REEF	Shallow	8/20/24	NA	NA	Day	20240820	2024	8	20	5.59	23.8	25.3	NA	NA
AS1_S1_L001	25	AS1	S1	SEDGE REEF 1	NA	0.75	40.82408333	72.56621667	WEST	OYSTER REEF	Shallow	8/20/24	NA	NA	Day	20240820	2024	8	20	6.04	23.4	26.2	NA	NA
AS3_S1_L001	31	AS3	S3	SEDGE REEF 3	NA	0.75	40.82661667	-72.56753333	WEST	OYSTER REEF	Shallow	8/20/24	NA	NA	Day	20240820	2024	8	20	7.06	23.5	26.4	NA	NA
AS6_S1_L001	32	AS6	S6	SEDGE REEF 6	NA	0.75	40.82493333	-72.56288333	WEST	OYSTER REEF	Shallow	8/20/24	NA	NA	Day	20240820	2024	8	20	6.13	23	26.2	NA	NA
AS9_S1_L001	33	AS9	S9	SEDGE REEF 9	NA	0.75	40.82318333	-72.56958333	WEST	OYSTER REEF	Shallow	8/20/24	NA	NA	Day	20240820	2024	8	20	5.98	23.5	25.8	NA	NA
AT1_S1_L001	27	AT1	T1	TIANA BEACH EELGRASS	NA	0.75	40.833381	-72.536572	WEST	EELGRASS	Shallow	8/20/24	NA	NA	Day	20240820	2024	8	20	6.16	22.8	28.2	NA	NA
AT2_S1_L001	28	AT2	T2	PONQUOGUE BRIDGE EELGRASS	NA	0.75	40.84476	-72.50889	WEST	EELGRASS	Shallow	8/20/24	NA	NA	Day	20240820	2024	8	20	6.64	21.2	30.5	NA	NA
AT3_S1_L001	29	AT3	T3	NORTHEASTERN BAY EELGRASS	NA	0.75	40.880681	-72.465141	EAST	EELGRASS	Shallow	8/20/24	NA	NA	Day	20240820	2024	8	20	6.12	23	29.3	NA	NA
