Sample	sites	replicates	site_altname	Station	controls	Volume_liter	lat	long	Bayside	Habitat	Site-type	Datecode	Date	Year	Month	Day	D.O (mg/l)	TEMP(C)	SALINITY(psu)	TIME	WEATHER
ABlank_S14_L002	NA	ABlank	NA	NA	negative	1	NA	NA	NA	NA	NA	20250811	8/11/25	2025	8	11	NA	NA	NA	NA	NA
AC4_S14_L002	26	AC4	C4	CANAL REEF 4	NA	0.4	40.812303	-72.590097	W	OYSTER REEF	Shallow	20250811	8/11/25	2025	8	11	6.5	25.5	30.4	NA	NA
AC5_S14_L002	34	AC5	C5	CANAL REEF 5	NA	0.5	40.81168333	-72.59206667	W	OYSTER REEF	Shallow	20250811	8/11/25	2025	8	11	6	25.6	30.4	NA	NA
APN_S14_L002	47	APN	PN	PINE NECK REEF	NA	0.5	40.840556	-72.566667	W	OYSTER REEF	Shallow	20250811	8/11/25	2025	8	11	7.4	25.7	30.8	NA	NA
AS1_S14_L002	25	AS1	S1	SEDGE REEF 1	NA	0.4	40.82408333	-72.56621667	W	OYSTER REEF	Shallow	20250811	8/11/25	2025	8	11	6.8	25.6	30.8	NA	NA
AS1.1_S14_L002	25	AS1	S1	SEDGE REEF 1	NA	0.55	40.82408333	-72.56621667	W	OYSTER REEF	Shallow	20250811	8/11/25	2025	8	11	NA	NA	NA	NA	NA
AS1.2_S14_L002	25	AS1	S1	SEDGE REEF 1	NA	0.55	40.82408333	-72.56621667	W	OYSTER REEF	Shallow	20250811	8/11/25	2025	8	11	NA	NA	NA	NA	NA
AS3_S14_L002	31	AS3	S3	SEDGE REEF 3	NA	0.75	40.82661667	-72.56753333	W	OYSTER REEF	Shallow	20250811	8/11/25	2025	8	11	6.4	24.9	31.3	NA	NA
AS6_S14_L002	32	AS6	S6	SEDGE REEF 6	NA	0.5	40.82493333	-72.56288333	W	OYSTER REEF	Shallow	20250811	8/11/25	2025	8	11	6.9	25.4	31.1	NA	NA
AS9_S14_L002	33	AS9	S9	SEDGE REEF 9	NA	0.5	40.82318333	-72.56958333	W	OYSTER REEF	Shallow	20250811	8/11/25	2025	8	11	7.2	25.6	30.9	NA	NA
AT1_S14_L002	27	AT1	T1	TIANA BEACH EELGRASS	NA	1	40.833381	-72.536572	W	EELGRASS	Tropicals	20250811	8/11/25	2025	8	11	24.4	31.6	6.5	NA	NA
AT2_S15_L002	28	AT2	T2	PONQUOGUE BRIDGE EELGRASS	NA	1	40.844827	-72.508885	W	EELGRASS	Tropicals	20250811	8/11/25	2025	8	11	22.9	32.2	7.9	NA	NA
AT3_S15_L002	29	AT3	T3	NORTHEASTERN BAY EELGRASS	NA	0.75	40.880262	-72.465403	E	EELGRASS	Tropicals	20250811	8/11/25	2025	8	11	25.7	30.6	7.4	NA	NA
AT3.1_S15_L002	29	AT3	T3	SHINNECOCK ROAD EEELGRASS	NA	0.75	40.880262	-72.465403	E	EELGRASS	Tropicals	20250811	8/11/25	2025	8	11	NA	NA	NA	NA	NA
