Sample	lat	long	replicates	sites	controls	Datecode	Year	Month	Day	Date	STATION_NA	Habitat_type	DO(mg-l)	SALINITY(psu)	TEMP(C)	TIME	BAYSIDE
AMW_RB1_S1_L001	NA	NA	AMW_RB1	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMW_S2_S1_L001	NA	NA	AMW_S2	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCE1_S1_L001	NA	NA	CCE1	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCE2_S1_L001	NA	NA	CCE2	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC1_S1_L001	NA	NA	MC1	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC2_S1_L001	NA	NA	MC2	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEB_S1_L001	NA	NA	MEB	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SA1_S1_L001	NA	NA	SA1	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SA2_S1_L001	NA	NA	SA2	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Shark_blood_S2_L001	NA	NA	Shark_blood	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T1S1_S1_L001	40.833857	-72.55301599	T1S1	12	NA	20210711	2021	7	11	7/11/22	PINE NECK	OPEN WATER	6.51	30.2	24.5	10:11	WEST
T1S2_S1_L001	40.829384	-72.52880897	T1S2	9	NA	20220711	2021	7	11	7/11/22	DUNE ROAD	OPEN WATER	6.06	31.3	24	10:38	WEST
T1S3_S1_L001	40.83632698	-72.54081303	T1S3	10	NA	20220711	2021	7	11	7/11/22	WEST MID BAY	OPEN WATER	7.16	31	23.9	10:57	WEST
T1S4_S1_L001	40.85080697	-72.54203998	T1S4	8	NA	20220711	2021	7	11	7/11/22	WEST TIANA	OPEN WATER	7.57	31.3	22.9	11:35	WEST
T1S5_S1_L001	40.84847404	-72.50028997	T1S5	4	NA	20220711	2021	7	11	7/11/22	PONQUOGUE BRIDGE	OPEN WATER	7.55	31.3	23.7	12:05	EAST
T1S6_S1_L001	40.85559798	-72.48360001	T1S6	3	NA	20220711	2021	7	11	7/11/22	INLET	OPEN WATER	6.95	32.1	21.2	12:21	EAST
T1S7_S1_L001	40.86747296	-72.46511397	T1S7	13	NA	20220711	2021	7	11	7/11/22	EAST MID BAY	OPEN WATER	7.32	30.3	24.3	12:36	EAST
T1S8_S1_L001	40.86448498	-72.49076896	T1S8	2	NA	20220711	2021	7	11	7/11/22	CORMORANT POINT	OPEN WATER	6.89	30.7	23.7	12:57	EAST
T1S9_S1_L001	40.87773199	-72.47381003	T1S9	1	NA	20220711	2021	7	11	7/11/22	SHINNECOCK HILLS	OPEN WATER	6.48	29.6	24.9	13:17	EAST
T1S10_S1_L001	40.85746698	-72.45544796	T1S10	11	NA	20220711	2021	7	11	7/11/22	SOUTH GRASS	OPEN WATER	7.1	31.4	22.7	13:49	EAST
T1S11_S1_L001	40.87454402	-72.45597602	T1S11	7	NA	20220711	2021	7	11	7/11/22	LITTLE POND	OPEN WATER	7.36	30.4	25.1	14:08	EAST
T1Tiana_S1_L001			T1Tiana	TI	NA	20220711	2021	7	11	7/11/22	TIANA SANCTUARY	CLAM SANCTUARY	NA	NA	NA	NA	NA
T1Wessuck_S1_L001			T1Wessuck	WS	NA	20220711	2021	7	11	7/11/22	WESSUCK SANCTUARY	CLAM SANCTUARY	NA	NA	NA	NA	NA
T1Blank_S1_L001	NA	NA	T1Blank	NA	negative	20220711	2021	7	11	7/11/22	NA	NA	NA	NA	NA	NA	NA
T3S1_S1_L001	40.833857	-72.55301599	T3S1	12	NA	20210726	2021	7	26	7/26/22	PINE NECK	OPEN WATER	5.55	30.3	25.7	9:45	WEST
