Sample	lat	long	replicates	sites	controls	Datecode	Date	Month	Year	Day	Bayside	Station	Habitat	DO	Salinity	Temperature
T1PosCon_S11_L001	NA	NA	T1PosCon	NA	positive	20200707	7/7/20	7	2020	7	NA	POS CON	NA	NA	NA	NA
T1S1_S1_L001	40.83347403	-72.55252498	T1S1	12	NA	20200707	7/7/20	7	2020	7	WEST	PINE NECK	OPEN WATER	5.65	30.1	22.3
T1S2_S2_L001	40.83347403	-72.55252498	T1S2	10	NA	20200707	7/7/20	7	2020	7	WEST	WEST MID BAY	OPEN WATER	6.43	30.2	21
T1S3_S3_L001	40.83791502	-72.53677203	T1S3	9	NA	20200707	7/7/20	7	2020	7	WEST	DUNE ROAD	OPEN WATER	4.35	30.4	22.1
T1S5_S4_L001	40.84659498	-72.50059901	T1S5	4	NA	20200707	7/7/20	7	2020	7	EAST	PONQUOGUE BRIDGE	OPEN WATER	5.8	30.1	22
T1S6_S5_L001	40.850855	-72.488632	T1S6	3	NA	20200707	7/7/20	7	2020	7	EAST	INLET	OPEN WATER	7.07	30.6	20.2
T1S7_S6_L001	40.86263903	-72.49350901	T1S7	2	NA	20200707	7/7/20	7	2020	7	EAST	CORMORANT POINT	OPEN WATER	6.81	29	23.8
T1S8_S7_L001	40.88104301	-72.48041698	T1S8	1	NA	20200707	7/7/20	7	2020	7	EAST	SHINNECOCK HILLS	OPEN WATER	6.12	28.5	24.4
T1S9_S8_L001	40.86852003	-72.47460597	T1S9	13	NA	20200707	7/7/20	7	2020	7	EAST	EAST MID BAY	OPEN WATER	6.93	29.9	22.2
T1S10_S9_L001	40.85579203	-72.45562004	T1S10	11	NA	20200707	7/7/20	7	2020	7	EAST	SOUTH GRASS	OPEN WATER	6.75	30.2	21.7
T1S11_S10_L001	40.87629701	-72.45737102	T1S11	7	NA	20200707	7/7/20	7	2020	7	EAST	LITTLE POND	OPEN WATER	6.01	29.9	22.8
T2PosCon_S21_L001	NA	NA	T2PosCon	NA	positive	20200722	7/22/20	7	2020	22	NA	POS CON	NA	NA	NA	NA
T2S1_S12_L001	40.83347403	-72.55252498	T2S1	12	NA	20200722	7/22/20	7	2020	22	WEST	PINE NECK	OPEN WATER	5.62	31.2	25.6
T2S2_S13_L001	40.83791502	-72.53677203	T2S2	10	NA	20200722	7/22/20	7	2020	22	WEST	WEST MID BAY	OPEN WATER	6.92	32.9	22.4
T2S3_S14_L001	40.82872904	-72.53193802	T2S3	9	NA	20200722	7/22/20	7	2020	22	WEST	DUNE ROAD	OPEN WATER	3.4	32.6	27.2
T2S4_S15_L001	40.84862902	-72.54801502	T2S4	8	NA	20200722	7/22/20	7	2020	22	WEST	WEST TIANA	OPEN WATER	7.16	33	22.3
T2S5_S16_L001	40.84659498	-72.50059901	T2S5	4	NA	20200722	7/22/20	7	2020	22	EAST	PONQUOGUE BRIDGE	OPEN WATER	6.3	32.6	24
T2S6_S17_L001	40.850855	-72.488632	T2S6	3	NA	20200722	7/22/20	7	2020	22	EAST	INLET	OPEN WATER	6.8	32.8	23.1
T2S9_S18_L001	40.86852003	-72.47460597	T2S9	13	NA	20200722	7/22/20	7	2020	22	EAST	EAST MID BAY	OPEN WATER	7.06	32.3	14.7
T2S10_S19_L001	40.85579203	-72.45562004	T2S10	11	NA	20200722	7/22/20	7	2020	22	EAST	SOUTH GRASS	OPEN WATER	6.81	33.8	22.2
T2S11_S20_L001	40.87629701	-72.45737102	T2S11	7	NA	20200722	7/22/20	7	2020	22	EAST	LITTLE POND	OPEN WATER	7.53	32.3	26.1
T3PosCon_S33_L001	NA	NA	T3PosCon	NA	positive	20200805	8/5/20	8	2020	5	NA	POS CON	NA	NA	NA	NA
T3S1_S22_L001	40.83347403	-72.55252498	T3S1	12	NA	20200805	8/5/20	8	2020	5	WEST	PINE NECK	OPEN WATER	5.33	28.2	23.7
T3S2_S23_L001	40.83791502	-72.53677203	T3S2	10	NA	20200805	8/5/20	8	2020	5	WEST	WEST MID BAY	OPEN WATER	6.76	30.7	22.6
T3S3_S24_L001	40.82872904	-72.53193802	T3S3	9	NA	20200805	8/5/20	8	2020	5	WEST	DUNE ROAD	OPEN WATER	6.01	30.9	24.8
T3S4_S25_L001	40.84862902	-72.54801502	T3S4	8	NA	20200805	8/5/20	8	2020	5	WEST	WEST TIANA	OPEN WATER	6.89	31.7	23.7
T3S5_S26_L001	40.84659498	-72.50059901	T3S5	4	NA	20200805	8/5/20	8	2020	5	EAST	PONQUOGUE BRIDGE	OPEN WATER	7.17	31.1	23.2
T3S6_S27_L001	40.850855	-72.488632	T3S6	3	NA	20200805	8/5/20	8	2020	5	EAST	INLET	OPEN WATER	7.01	31.9	22.6
T3S7_S28_L001	40.86263903	-72.49350901	T3S7	2	NA	20200805	8/5/20	8	2020	5	EAST	CORMORANT POINT	OPEN WATER	7.5	31.2	24.1
T3S8_S29_L001	40.88104301	-72.48041698	T3S8	1	NA	20200805	8/5/20	8	2020	5	EAST	SHINNECOCK HILLS	OPEN WATER	7.3	29.8	27.2
T3S9_S30_L001	40.86852003	-72.47460597	T3S9	13	NA	20200805	8/5/20	8	2020	5	EAST	EAST MID BAY	OPEN WATER	6.64	30.8	25.4
T3S10_S31_L001	40.85579203	-72.45562004	T3S10	11	NA	20200805	8/5/20	8	2020	5	EAST	SOUTH GRASS	OPEN WATER	7.2	31	25.3
T3S11_S32_L001	40.87629701	-72.45737102	T3S11	7	NA	20200805	8/5/20	8	2020	5	EAST	LITTLE POND	OPEN WATER	8.4	30	26
T4S1_S34_L001	40.83347403	-72.55252498	T4S1	12	NA	20200819	8/19/20	8	2020	19	WEST	PINE NECK	OPEN WATER	6.15	33.2	22.8
T4S2_S35_L001	40.83791502	-72.53677203	T4S2	10	NA	20200819	8/19/20	8	2020	19	WEST	WEST MID BAY	OPEN WATER	5.8	32.6	23.3
T4S3_S36_L001	40.82872904	-72.53193802	T4S3	9	NA	20200819	8/19/20	8	2020	19	WEST	DUNE ROAD	OPEN WATER	4.4	31.7	24
T4S4_S37_L001	40.84862902	-72.54801502	T4S4	8	NA	20200819	8/19/20	8	2020	19	WEST	WEST TIANA	OPEN WATER	6.13	33.3	22.8
T4S5_S38_L001	40.84659498	-72.50059901	T4S5	4	NA	20200819	8/19/20	8	2020	19	EAST	PONQUOGUE BRIDGE	OPEN WATER	6.78	32.7	22.9
T4S6_S39_L001	40.850855	-72.488632	T4S6	3	NA	20200819	8/19/20	8	2020	19	EAST	INLET	OPEN WATER	6.2	32.6	23.2
T4S7_S40_L001	40.86263903	-72.49350901	T4S7	2	NA	20200819	8/19/20	8	2020	19	EAST	CORMORANT POINT	OPEN WATER	7.16	31.5	24
T4S8_S41_L001	40.88104301	-72.48041698	T4S8	1	NA	20200819	8/19/20	8	2020	19	EAST	SHINNECOCK HILLS	OPEN WATER	6.83	31.3	24.4
T4S9_S42_L001	40.86852003	-72.47460597	T4S9	13	NA	20200819	8/19/20	8	2020	19	EAST	EAST MID BAY	OPEN WATER	7.22	32.1	23.7
T4S10_S43_L001	40.85579203	-72.45562004	T4S10	11	NA	20200819	8/19/20	8	2020	19	EAST	SOUTH GRASS	OPEN WATER	5.85	33.5	22.5
T4S11_S44_L001	40.87629701	-72.45737102	T4S11	7	NA	20200819	8/19/20	8	2020	19	EAST	LITTLE POND	OPEN WATER	5.88	31.9	24
T5S1_S45_L001	40.83347403	-72.55252498	T5S1	12	NA	20200902	9/2/20	9	2020	2	WEST	PINE NECK	OPEN WATER	6.06	33.8	22
T5S2_S46_L001	40.83791502	-72.53677203	T5S2	10	NA	20200902	9/2/20	9	2020	2	WEST	WEST MID BAY	OPEN WATER	6.56	33.9	22
T5S3_S47_L001	40.82872904	-72.53193802	T5S3	9	NA	20200902	9/2/20	9	2020	2	WEST	DUNE ROAD	OPEN WATER	4.61	33.4	22.1
T5S4_S48_L001	40.84862902	-72.54801502	T5S4	8	NA	20200902	9/2/20	9	2020	2	WEST	WEST TIANA	OPEN WATER	6.45	34	22
T5S5_S49_L001	40.84659498	-72.50059901	T5S5	4	NA	20200902	9/2/20	9	2020	2	EAST	PONQUOGUE BRIDGE	OPEN WATER	6.6	33.8	22.1
T5S6_S50_L001	40.850855	-72.488632	T5S6	3	NA	20200902	9/2/20	9	2020	2	EAST	INLET	OPEN WATER	6.79	33.8	22.2
T5S7_S51_L001	40.86263903	-72.49350901	T5S7	2	NA	20200902	9/2/20	9	2020	2	EAST	CORMORANT POINT	OPEN WATER	6.87	33.2	22.2
T5S8_S52_L001	40.88104301	-72.48041698	T5S8	1	NA	20200902	9/2/20	9	2020	2	EAST	SHINNECOCK HILLS	OPEN WATER	6.35	31.8	23.4
T5S9_S53_L001	40.86852003	-72.47460597	T5S9	13	NA	20200902	9/2/20	9	2020	2	EAST	EAST MID BAY	OPEN WATER	6.72	32.8	22.7
T5S10_S54_L001	40.85579203	-72.45562004	T5S10	11	NA	20200902	9/2/20	9	2020	2	EAST	SOUTH GRASS	OPEN WATER	6.84	33.3	22.5
T5S11_S55_L001	40.87629701	-72.45737102	T5S11	7	NA	20200902	9/2/20	9	2020	2	EAST	LITTLE POND	OPEN WATER	7.05	32.4	23.1
