Sample	lat	long	replicates	sites	controls	Datecode	Date	Year	Month	Day	Bayside	Station	Habitat	DO	Temperature	Salinity	Time
ABlank_S3_L002	NA	NA	ABlank	NA	negative	20220829	8/29/22	2022	8	29		NA	OYSTER REEF	NA	NA	NA	
ACanal1_S3_L002	NA	NA	ACanal1	41	NA	20220829	8/29/22	2022	8	29		Canal 1	OYSTER REEF	6.09	26.5	31.2	
ACanal2_S3_L002	NA	NA	ACanal2	42	NA	20220829	8/29/22	2022	8	29		Canal 2	OYSTER REEF	5.85	26.4	31.2	
ACanal3_S3_L002	NA	NA	ACanal3	43	NA	20220829	8/29/22	2022	8	29		Canal 3	OYSTER REEF	5.2	26.3	31.3	
ACanal4_S3_L002	40.812303	-72.590097	ACanal4	26	NA	20220829	8/29/22	2022	8	29		Canal 4	OYSTER REEF	5.65	26.2	31.3	
ACanal5_S3_L002	40.81168333	-72.59206667	ACanal5	34	NA	20220829	8/29/22	2022	8	29		Canal 5	OYSTER REEF	5.01	26.2	31.3	
ACanal6_S3_L002	NA	NA	ACanal6	44	NA	20220829	8/29/22	2022	8	29		Canal 6	OYSTER REEF	4.9	26.1	31.3	
ACanal7_S3_L002	NA	NA	ACanal7	45	NA	20220829	8/29/22	2022	8	29		Canal 7	OYSTER REEF	5	26.1	31.2	
ACanal8_S3_L002	NA	NA	ACanal8	46	NA	20220829	8/29/22	2022	8	29		Canal 8	OYSTER REEF	6.43	26.9	30.9	
APosCon_S3_L002	NA	NA	APosCon	NA	positive	20220829	8/29/22	2022	8	29		NA	OYSTER REEF	NA	NA	NA	
ASedge1_S2_L002	40.8240833	72.5662167	ASedge1	25	NA	20220829	8/29/22	2022	8	29		Sedge 1	OYSTER REEF	4.9	25.9	31.5	
ASedge10_S3_L002	NA	NA	ASedge10	40	NA	20220829	8/29/22	2022	8	29		Sedge 10	OYSTER REEF	5.2	26	31.6	
ASedge2_S2_L002	NA	NA	ASedge2	35	NA	20220829	8/29/22	2022	8	29		Sedge 2	OYSTER REEF	5.29	25.9	31.7	
ASedge3_S2_L002	40.82661667	-72.56753333	ASedge3	31	NA	20220829	8/29/22	2022	8	29		Sedge 3	OYSTER REEF	5.39	26	31.7	
ASedge4_S2_L002	NA	NA	ASedge4	36	NA	20220829	8/29/22	2022	8	29		Sedge 4	OYSTER REEF	5.55	25.6	31.8	
ASedge5_S2_L002	NA	NA	ASedge5	37	NA	20220829	8/29/22	2022	8	29		Sedge 5	OYSTER REEF	5.36	25.6	31.8	
ASedge6_S3_L002	40.82493333	-72.56288333	ASedge6	32	NA	20220829	8/29/22	2022	8	29		Sedge 6	OYSTER REEF	5.27	25.5	31.8	
ASedge7_S3_L002	NA	NA	ASedge7	38	NA	20220829	8/29/22	2022	8	29		Sedge 7	OYSTER REEF	4.86	25.3	32	
ASedge8_S3_L002	NA	NA	ASedge8	39	NA	20220829	8/29/22	2022	8	29		Sedge 8	OYSTER REEF	5.17	26	31.5	
ASedge9_S3_L002	40.82318333	-72.56958333	ASedge9	33	NA	20220829	8/29/22	2022	8	29		Sedge 9	OYSTER REEF	5.21	25.9	31.5	
JBlank_S2_L002	NA	NA	JBlank	NA	negative	20220726	7/26/22	2022	7	26		NA	OYSTER REEF	NA	NA	NA	
