Sample	lat	long	replicates	sites	controls	Datecode	Date	Year	Month	Day	Bayside	Station	Habitat	DO	Temperature	Salinity	Time
OSedge3_S3_L002	40.82661667	-72.56753333	OSedge3	31	NA	20221024	10/24/22	2022	10	24		Sedge 3	OYSTER REEF	7.87	14.3	30.8	
OSedge4_S3_L002	NA	NA	OSedge4	36	NA	20221024	10/24/22	2022	10	24		Sedge 4	OYSTER REEF	7.68	14.5	30.9	
OSedge5_S3_L002	NA	NA	OSedge5	37	NA	20221024	10/24/22	2022	10	24		Sedge 5	OYSTER REEF	7.64	14.2	29.6	
OSedge6_S3_L002	40.82493333	-72.56288333	OSedge6	32	NA	20221024	10/24/22	2022	10	24		Sedge 6	OYSTER REEF	7.57	14.2	30.9	
OSedge7_S3_L002	NA	NA	OSedge7	38	NA	20221024	10/24/22	2022	10	24		Sedge 7	OYSTER REEF	7.6	14.3	30.9	
OSedge8_S3_L002	NA	NA	OSedge8	39	NA	20221024	10/24/22	2022	10	24		Sedge 8	OYSTER REEF	7.81	14.3	30.8	
OSedge9_S3_L002	40.82318333	-72.56958333	OSedge9	33	NA	20221024	10/24/22	2022	10	24		Sedge 9	OYSTER REEF	7.74	14.2	30.7	
T1Blank_S1_L002	NA	NA	T1Blank	NA	negative	20220711	7/11/22	2022	7	11	NA	NA	NA	NA	NA	NA	NA
T1PosCon_S1_L002	NA	NA	T1PosCon	NA	positive	20220711	7/11/22	2022	7	11	NA	NA	NA	NA	NA	NA	NA
T1S1_S1_L002	40.83347403	-72.55252498	T1S1	12	NA	20220711	7/11/22	2022	7	11	WEST	PINE NECK	OPEN WATER	6.51	24.5	30.2	10:11
T1S10_S1_L002	40.85579203	-72.45562004	T1S10	11	NA	20220711	7/11/22	2022	7	11	EAST	SOUTH GRASS	OPEN WATER	7.1	22.7	31.4	13:49
T1S11_S1_L002	40.87629701	-72.45737102	T1S11	7	NA	20220711	7/11/22	2022	7	11	EAST	LITTLE POND	OPEN WATER	7.36	25.1	30.4	14:08
T1S2_S1_L002	40.82872904	-72.53193802	T1S2	9	NA	20220711	7/11/22	2022	7	11	WEST	DUNE ROAD	OPEN WATER	6.06	24	31.3	10:38
T1S3_S1_L002	40.84862902	-72.54801502	T1S3	10	NA	20220711	7/11/22	2022	7	11	WEST	WEST MID BAY	OPEN WATER	7.16	23.9	31	10:57
T1S4_S1_L002	40.84659498	-72.50059901	T1S4	8	NA	20220711	7/11/22	2022	7	11	WEST	WEST TIANA	OPEN WATER	7.57	22.9	31.3	11:35
T1S5_S1_L002	40.850855	-72.488632	T1S5	4	NA	20220711	7/11/22	2022	7	11	EAST	PONQUOGUE BRIDGE	OPEN WATER	7.55	23.7	31.3	12:05
T1S6_S1_L002	40.850855	-72.488632	T1S6	3	NA	20220711	7/11/22	2022	7	11	EAST	INLET	OPEN WATER	6.95	21.2	32.1	12:21
T1S7_S1_L002	40.86852003	-72.47460597	T1S7	13	NA	20220711	7/11/22	2022	7	11	EAST	EAST MID BAY	OPEN WATER	7.32	24.3	30.3	12:36
T1S8_S1_L002	40.86263903	-72.49350901	T1S8	2	NA	20220711	7/11/22	2022	7	11	EAST	CORMORANT POINT	OPEN WATER	6.89	23.7	30.7	12:57
