Sample	lat	long	replicates	sites	controls	Datecode	Date	Year	Month	Day	Bayside	Station	Habitat	DO	Temperature	Salinity	Time	Weather
T2Blank_S1_L002	NA	NA	T2Blank	NA	negative	20230705	7/5/23	2023	7	5	NA	NA	NA	NA	NA	NA	NA	NA
T2Positive_S1_L002	NA	NA	T2Positive	NA	positive	20230705	7/5/23	2023	7	5	NA	NA	NA	NA	NA	NA	NA	NA
T2S1_S1_L002	40.83347403	-72.55252498	T2S1	12	NA	20230705	7/5/23	2023	7	5	WEST	PINE NECK	OPEN WATER	6.51	23.2	30.2	9:48	SUNNY
T2S2_S1_L002	40.83791502	-72.53677203	T2S2	10	NA	20230705	7/5/23	2023	7	5	WEST	WEST MID BAY	OPEN WATER	6.98	21.9	31.5	10:06	SUNNY
T2S3_S1_L002	40.82872904	-72.53193802	T2S3	9	NA	20230705	7/5/23	2023	7	5	WEST	DUNE ROAD	OPEN WATER	4.8	24.1	31.1	10:27	SUNNY
T2S4_S1_L002	40.84862902	-72.54801502	T2S4	8	NA	20230705	7/5/23	2023	7	5	WEST	WEST TIANA	OPEN WATER	6.95	22.4	31.2	10:47	SUNNY
T2S5_S1_L002	40.84659498	-72.50059901	T2S5	4	NA	20230705	7/5/23	2023	7	5	EAST	PONQUOGUE BRIDGE	OPEN WATER	7.37	22.1	30.8	11:33	SUNNY
T2S6_S1_L002	40.850855	-72.488632	T2S6	3	NA	20230705	7/5/23	2023	7	5	EAST	INLET	OPEN WATER	7.88	19.8	31.3	11:51	SUNNY
T2S7_S1_L002	40.86263903	-72.49350901	T2S7	2	NA	20230705	7/5/23	2023	7	5	EAST	CORMORANT POINT	OPEN WATER	6.37	20.6	31.5	12:07	SUNNY
T2S8_S1_L002	40.88104301	-72.48041698	T2S8	1	NA	20230705	7/5/23	2023	7	5	EAST	SHINNECOCK HILLS	OPEN WATER	7.12	22.7	30.7	12:30	SUNNY
T2S9_S1_L002	40.86852003	-72.47460597	T2S9	13	NA	20230705	7/5/23	2023	7	5	EAST	EAST MID BAY	OPEN WATER	7.32	24.2	30.1	12:46	SUNNY
T2S10_S1_L002	40.85579203	-72.45562004	T2S10	11	NA	20230705	7/5/23	2023	7	5	EAST	SOUTH GRASS	OPEN WATER	8.38	19.2	31.4	1:09	SUNNY
T2S11_S1_L002	40.87629701	-72.45737102	T2S11	7	NA	20230705	7/5/23	2023	7	5	EAST	LITTLE POND	OPEN WATER	7.12	24.4	30.3	1:30	SUNNY
T2WC_S1_L002	40.83866	-72.57004	T2WC	23	NA	20230705	7/5/23	2023	7	5	WEST	WESSUCK SANCTUARY	CLAM SANCTUARY	NA	NA	NA	NA	NA
T2Tiana_S1_L002	40.86009	-72.537887	T2Tiana	24	NA	20230705	7/5/23	2023	7	5	WEST	TIANA SANCTUARY	CLAM SANCTUARY	NA	NA	NA	NA	NA
T3Blank_S1_L002	NA	NA	T3Blank	NA	negative	20230808	8/8/23	2023	8	8	NA	NA	NA	NA	NA	NA	NA	NA
T3Positive_S1_L002	NA	NA	T3Positive	NA	positive	20230808	8/8/23	2023	8	8	NA	NA	NA	NA	NA	NA	NA	NA
T3S1_S1_L002	40.83347403	-72.55252498	T3S1	12	NA	20230808	8/8/23	2023	8	8	WEST	PINE NECK	OPEN WATER	6.45	23.5	30.5	10:13	WINDY/CLOUDY
T3S2_S1_L002	40.83791502	-72.53677203	T3S2	10	NA	20230808	8/8/23	2023	8	8	WEST	WEST MID BAY	OPEN WATER	5.77	23.9	30.1	10:39	WINDY/CLOUDY
T3S3_S1_L002	40.82872904	-72.53193802	T3S3	9	NA	20230808	8/8/23	2023	8	8	WEST	DUNE ROAD	OPEN WATER	6.1	24.2	29.2	11:07	WINDY/CLOUDY
