"","MP_AMW_RB1_S1_L001","MP_AMW_S2_S1_L001","MP_CCE1_S1_L001","MP_CCE2_S1_L001","MP_MC1_S1_L001","MP_MC2_S1_L001","MP_SA1_S1_L001","MP_SA2_S1_L001","MP_Shark_blood_S2_L001","MP_T1S1_S1_L001","MP_T1S2_S1_L001","MP_T1S3_S1_L001","MP_T1S4_S1_L001","MP_T1S5_S1_L001","MP_T1S7_S1_L001","MP_T1S8_S1_L001","MP_T1S9_S1_L001","MP_T1S10_S1_L001","MP_T1S11_S1_L001","MP_T1Wessuck_S1_L001","MP_T3S5_S1_L001","MP_T3S6_S1_L001","MP_T3S7_S1_L001","MP_T3S11_S1_L001","MP_T3Tiana_S1_L001","MP_T5S1_S1_L001","MP_T5S2_S1_L001","MP_T5S4_S1_L001","MP_T5S5_S1_L001","MP_T5S7_S1_L001","MP_T5S9_S1_L001","MP_T5S10_S1_L001","MP_T5S11_S2_L001","MP_T5Tiana_S2_L001","MP_T7S1_S2_L001","MP_T7S2_S2_L001","MP_T7S3_S2_L001","MP_T7S4_S2_L001","MP_T7S6_S2_L001","MP_T7S9_S2_L001","MP_T7S11_S2_L001","MP_T7Tiana_S2_L001","MP_T9S1_S2_L001","MP_T9S2_S2_L001","MP_T9S4_S2_L001","MP_T9S5_S2_L001","MP_T9S6_S2_L001","MP_T9S9_S2_L001","MP_T9S10_S2_L001","MP_T9S11_S2_L001","MP_T9Wessuck_S2_L001","MP_T10S1_S2_L001","MP_T10S2_S2_L001","MP_T10S6_S2_L001","MP_T10S10_S2_L001","MP_T10Tiana_S2_L001"
"ASV_1",2633,1591,2345,1811,1753,95557,92671,81653,89085,109630,51382,2171,108642,38575,2136,904,120602,41569,89033,201490,134163,2753,116395,103309,104120,114207,1385,124390,148887,141500,1854,69808,115769,110102,1385,12381,1490,1419,85837,1672,1520,109931,120816,107882,112111,1285,134200,115254,60386,134987,126179,70786,72503,1356,106604,116175
"ASV_3",0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,813,168634,97916,161753,159913,861,185004,216491,698,721,771,713,685,866,870,0,880,709,0,0,842,793,764
"ASV_5",539,0,784,587,122679,956,780,0,0,59674,638,154524,20612,0,141440,65815,758,791,614,1304,993,869,791,668,621,721,0,1058,930,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_6",0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,153581,0,0,0,0,0,0,0,0,181915,0,0,0,163159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51723,0,0,0,0,0,0,54394,0
"ASV_7",0,0,164027,147837,0,0,0,0,0,754,550,0,0,0,0,0,548,0,0,900,0,741,507,0,0,0,0,519,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88968,0,0,0,0,0,0,158507,0,538,0,0,0,0,0,2472,0,0
"ASV_14",0,0,0,0,0,0,0,0,0,0,142822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,1508,0,0,0,0,0,0,0,214469,0,0
"ASV_16",0,144177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_22",116520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_129",0,3328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_234",0,1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
