"1stRepresentative_ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","CommonName","Species.CommonName"
"ASV_1","Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Mustelus","Mustelus canis","Smooth dogfish","Mustelus canis (Smooth dogfish)"
"ASV_3","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Rhinoptera","Rhinoptera bonasus","Cownose ray","Rhinoptera bonasus (Cownose ray)"
"ASV_5","Eukaryota","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Unknown Squalus (Genus)","Spurdogs","Squalus sp. (Spurdogs)"
"ASV_6","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","Raja eglanteria","Clearnose skate","Raja eglanteria (Clearnose skate)"
"ASV_7","Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Scyliorhinus retifer","Chain catshark","Scyliorhinus retifer (Chain catshark)"
"ASV_9","Eukaryota","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Isurus","Isurus oxyrinchus","Mako shark","Isurus oxyrinchus (Mako shark)"
"ASV_11","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja erinacea","Little skate","Leucoraja erinacea (Little skate)"
"ASV_14","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja ocellata","Winter skate","Leucoraja ocellata (Winter skate)"
"ASV_16","Eukaryota","Chordata","Chondrichthyes","Lamniformes","Odontaspididae","Carcharias","Carcharias taurus","Sand tiger shark","Carcharias taurus (Sand tiger shark)"
"ASV_22","Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Triakis","Triakis semifasciata","Leopard shark","Triakis semifasciata (Leopard shark)"
"ASV_78","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Smooth-hounds","Mustelus sp. (Smooth-hounds)"
"ASV_129","Eukaryota","Chordata","Chondrichthyes","Orectolobiformes","Ginglymostomatidae","Ginglymostoma","Ginglymostoma cirratum","Nurse shark","Ginglymostoma cirratum (Nurse shark)"
"ASV_234","Eukaryota","Chordata","Chondrichthyes","Orectolobiformes","Orectolobidae","Orectolobus","Orectolobus japonicus","Japanese wobbegong","Orectolobus japonicus (Japanese wobbegong)"
"ASV_302","Eukaryota","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Squalus acanthias","Spiny dogfish","Squalus acanthias (Spiny dogfish)"
