"","MP_T2S2_S3_L002","MP_T2S4_S3_L002","MP_T2S5_S3_L002","MP_T2S6_S3_L002","MP_T2S8_S3_L002","MP_T2S9_S3_L002","MP_T2S10_S3_L002","MP_T2S11_S3_L002","MP_T2WC_S3_L002","MP_T2Tiana_S3_L002","MP_T3Positive_S3_L002","MP_T3S1_S3_L002","MP_T3S4_S3_L002","MP_T3S5_S3_L002","MP_T3S6_S3_L002","MP_T3S7_S3_L002","MP_T3S8_S3_L002","MP_T3S9_S3_L002","MP_T3S10_S3_L002","MP_T3S11_S3_L002","MP_T3Tiana_S3_L002","MP_T5Positive_S4_L002","MP_T5S2_S3_L002","MP_T5S3_S3_L002","MP_T5S4_S3_L002","MP_T5S5_S3_L002","MP_T5S6_S3_L002","MP_T5S7_S3_L002","MP_T5S8_S3_L002","MP_T5S9_S3_L002","MP_T5S10_S3_L002","MP_T5S11_S3_L002","MP_T5Tiana_S4_L002","MP_AC5_S4_L002","MP_JC5_S4_L002","MP_S_Positive_S4_L002"
"ASV_1",143181,77385,100981,77211,115106,147664,120931,99638,154806,50036,3143,2606,68169,79593,115833,69635,199106,114348,174386,144454,248580,181341,114799,239969,82024,186718,219230,154785,248954,222411,131328,199640,150399,747,280159,682
"ASV_4",1034,74272,70045,197964,998,26836,60769,915,1281,127628,1371,208148,174686,138456,26693,142916,1270,78489,31235,16552,1539,0,718,1569,114320,1638,1623,2070,1680,17273,2070,1594,0,0,0,0
"ASV_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,36492,0,64172,0,12551,65198,0,696,327584,0,0
"ASV_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,89976,0,0,11023,34053,0,0,0,0,0,50790,0,0,0,0,0,0,0,0,0,0,0
"ASV_17",0,0,0,0,0,0,0,0,0,0,96220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162323
"ASV_19",0,0,0,0,0,0,0,0,0,0,90947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108466
"ASV_21",0,71890,0,0,0,0,72044,0,0,0,27702,0,0,0,28302,0,0,0,0,0,0,0,0,0,0,0,5188,0,0,0,25964,0,0,0,0,0
"ASV_37",0,0,0,0,0,0,0,0,0,0,49246,0,0,0,10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_39",0,0,52088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45389,0,35350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13219,0,0,0,0,0,0,0,0,0
"ASV_188",0,0,0,0,0,0,0,0,0,0,0,522,1280,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028
"ASV_683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,648,0,0,0,0,0,0
