"","MP_T1S5_S3_L002","MP_T1S10_S3_L002","MP_T3Blank_S3_L002","MP_T3S1_S3_L002","MP_T3S2_S3_L002","MP_T3S5_S3_L002","MP_T3S6_S3_L002","MP_T3S7_S3_L002","MP_T3S10_S3_L002","MP_T3S11_S3_L002","MP_T3TC_S3_L002","MP_T5S1_S3_L002","MP_T5S2_S3_L002","MP_T5S4_S3_L002","MP_T5S5_S3_L002","MP_T5S6_S4_L002","MP_T5S7_S4_L002","MP_T5S8_S4_L002","MP_T5S9_S4_L002","MP_T5S10_S4_L002","MP_T5S11_S4_L002","MP_T5TC_S4_L002","MP_T7S1_S4_L002","MP_T7S2_S4_L002","MP_T7S3_S4_L002","MP_T7S4_S4_L002","MP_T7S5_S4_L002","MP_T7S6_S4_L002","MP_T7S7_S4_L002","MP_T7S8_S4_L002","MP_T7S9_S4_L002","MP_T7S10_S4_L002","MP_T7S11_S4_L002","MP_T7WC_S4_L002","MP_T7TC_S4_L002","MP_T7S2_1_S4_L002","MP_T7S9_1_S4_L002","MP_T72_2_S4_L002","MP_T79_2_S4_L002","MP_June_S6_S4_L002","MP_July_S3_S4_L002","MP_July_S9_S5_L002","MP_July_C4_S5_L002","MP_AS1_S5_L002","MP_AS3_S5_L002","MP_AS6_S5_L002","MP_AS9_S5_L002","MP_AC4_S5_L002","MP_AC5_S5_L002","MP_SS1_S5_L002","MP_SS3_S5_L002","MP_SS6_S5_L002","MP_SS9_S5_L002","MP_SC4_S5_L002","MP_SC5_S5_L002","MP_S_Positive_S5_L002","MP_JT3_S5_L002","MP_ATPositive_S5_L002","MP_AT1_S5_L002","MP_AT2_S5_L002","MP_AT3_S5_L002","MP_AT4_S5_L002","MP_ST1_S5_L002","MP_ST2_S5_L002","MP_ST3_S5_L002","MP_ST4_S5_L002"
"ASV_1",4275,6277,1082,167254,92966,259162,277505,272797,285803,105444,3832,83732,277986,210918,112989,58219,59230,44844,66411,117144,3989,151645,177262,91158,211339,250638,224336,171556,214472,76074,162952,57259,178004,109413,3306,127775,45738,106008,194002,99157,3304,4149,27063,64315,47754,2723,2354,2223,2737,239403,178488,280245,214454,129671,118013,2387,150331,7836,4352,3220,56902,63036,148400,149155,2328,144269
"ASV_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,114611,165066,168330,129696,83720,89228,1987,2469,2769,158046,2879,3268,14689,60899,2829,122850,47893,70603,2576,2943,3770,189534,335466,186462,124103,2479,3110,2819,6623,101507,247017,161653,177888,190774,202017,30808,106541,4679,4413,156056,139355,3631,5284,5067,278389,146954,58353,102287,133745,87367,153741,167750
"ASV_5",322442,244266,39799,929,134796,1895,1485,1041,1222,803,273245,834,1614,866,2246,0,0,0,0,35544,173593,0,0,0,508,664,596,561,517,0,38301,0,0,0,0,626,656,534,583,0,0,215198,1776,0,736,508,0,0,0,1240,1266,605,1283,677,533,526,1384,453369,1440,698,776,624,755,625,0,1220
"ASV_7",0,560,0,0,0,61716,52215,0,0,0,0,0,0,0,98817,42664,1270,1157,942,1421,687,842,776,19299,962,1179,1029,1025,1044,1098,1143,13212,946,1001,303599,1586,2526,1489,1499,760,199185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114193,0,0,0,0,0
"ASV_9",0,743,0,0,0,0,0,0,0,0,0,163971,0,0,126870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,0,667,0,0,0,0,0,565,0,0,530,0,198722,580,571,1296,98221,661,0,560,0,0,545
"ASV_24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67346,0,0,0,0,0,0,0,0,0,0,0,0,0,121200,0,0,0,0,0,0
"ASV_155",0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,0,0,0,0,0,0,0,0,0
"ASV_911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
