"","MP_T1PosCon_S11_L001","MP_T1S1_S1_L001","MP_T1S3_S3_L001","MP_T1S5_S4_L001","MP_T1S6_S5_L001","MP_T1S9_S8_L001","MP_T1S10_S9_L001","MP_T1S11_S10_L001","MP_T2PosCon_S21_L001","MP_T2S1_S12_L001","MP_T2S2_S13_L001","MP_T2S3_S14_L001","MP_T2S4_S15_L001","MP_T2S5_S16_L001","MP_T2S6_S17_L001","MP_T2S9_S18_L001","MP_T2S10_S19_L001","MP_T2S11_S20_L001","MP_T3PosCon_S33_L001","MP_T3S1_S22_L001","MP_T3S4_S25_L001","MP_T3S6_S27_L001","MP_T3S7_S28_L001","MP_T3S9_S30_L001","MP_T3S10_S31_L001","MP_T4S1_S34_L001","MP_T4S2_S35_L001","MP_T4S3_S36_L001","MP_T4S4_S37_L001","MP_T4S6_S39_L001","MP_T4S7_S40_L001","MP_T4S8_S41_L001","MP_T4S9_S42_L001","MP_T4S10_S43_L001","MP_T4S11_S44_L001","MP_T5S1_S45_L001","MP_T5S2_S46_L001","MP_T5S3_S47_L001","MP_T5S4_S48_L001","MP_T5S5_S49_L001","MP_T5S6_S50_L001","MP_T5S7_S51_L001","MP_T5S8_S52_L001","MP_T5S9_S53_L001","MP_T5S10_S54_L001","MP_T5S11_S55_L001"
"ASV_1",0,13163,90417,13595,0,0,27338,31386,0,12822,68858,54385,8336,8402,0,19663,36798,0,0,11755,44130,29755,0,0,0,6159,8241,25701,0,18764,0,0,0,41411,7543,30398,4389,103444,13351,0,0,0,0,14626,18384,12866
"ASV_2",0,0,0,0,0,22933,0,9915,0,4507,2549,0,0,0,0,3075,0,47086,0,0,0,0,40809,0,48281,34871,56671,0,46008,29516,55105,12365,63862,0,41862,1694,15124,10816,29141,21447,24143,0,17886,15198,0,26768
"ASV_3",0,0,0,0,0,53830,5882,35230,0,1811,0,0,14977,1516,7135,10575,11803,0,0,0,0,0,0,50181,0,0,0,0,0,0,0,0,0,0,0,2652,0,0,0,0,0,0,0,18679,0,2498
"ASV_4",0,0,0,2151,0,0,0,0,0,0,0,0,0,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,4010,0,0,0,36398,0,19844,0,3737,3757,7561,0,18455,0,0,30354,41194,11786,0
"ASV_5",105312,0,0,0,0,0,0,0,27451,0,0,0,0,0,0,0,0,0,54061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_6",0,0,0,0,0,0,0,2283,0,3543,0,0,0,7681,36634,0,11927,0,0,0,0,0,38449,0,0,0,0,0,0,0,0,0,13106,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_7",0,56347,0,0,0,0,0,0,0,0,3816,0,15587,4541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5835,3116,0,3648,0,0,0,0,0,0,0
"ASV_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47821,0,0,0,0
"ASV_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25809,0,0,0,0,0,0,0,0,0,0,0,11621,0,14149,0,0,0,0,4462,0,0,0,0,0,0,0
"ASV_10",0,0,0,0,52966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11",0,0,0,0,0,0,0,0,0,0,4245,0,13893,0,0,4880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7096,0,0,1800,0,0,0,0,0,0,0,0,0
"ASV_12",0,0,0,0,0,0,0,14419,0,0,0,0,0,0,7811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4723,0,0,0,0,0,0,0,11825,0,0,1845,0,0,0
"ASV_13",0,0,0,13278,0,0,0,0,0,2221,0,0,30712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8277,0,0,0,16412,0,0,0,0,0,0,0,0,0,0
"ASV_16",0,0,0,0,0,24040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_18",0,0,0,12483,0,0,0,0,0,0,0,0,0,1509,0,7193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1599,0,0,0,0,0,0
"ASV_19",0,0,0,5619,0,0,0,0,0,0,7489,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3526,0,0,0,3760,0
"ASV_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_21",0,9870,0,0,0,2790,0,0,0,0,0,0,0,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,0
"ASV_30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3894,3107
"ASV_34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5509,0,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_35",0,0,0,0,0,0,0,0,0,0,4227,0,1578,1786,0,0,0,0,0,0,0,0,3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5296,0,0,0,0,0,0,0,0,0,0
"ASV_39",0,0,0,0,0,0,0,0,0,0,5185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_41",0,0,0,0,0,0,0,0,0,0,0,4361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_45",0,0,0,0,0,0,0,0,0,0,0,870,0,859,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_58",0,0,0,0,0,0,0,0,0,0,2478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867
"ASV_85",0,0,0,0,0,0,0,0,0,0,0,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_110",857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_114",0,0,0,0,0,0,0,0,0,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_125",0,0,0,0,0,0,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_149",527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
