"1stRepresentative_ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","CommonName","Species.CommonName"
"ASV_1","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","Atlantic silverside","Menidia menidia (Atlantic silverside)"
"ASV_2","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Brevoortia","Unknown Brevoortia (Genus)","Menhaden","Brevoortia sp. (Menhaden)"
"ASV_3","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli","Bay anchovy","Anchoa mitchilli (Bay anchovy)"
"ASV_4","Eukaryota","Chordata","Actinopteri","Scombriformes","Unknown Scombriformes (Order)","Unknown Scombriformes (Order)","Unknown Scombriformes (Order)","Scombriformes","Scombriformes"
"ASV_5","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus griseus","Grey snapper","Lutjanus griseus (Grey snapper)"
"ASV_6","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","Unknown Paralichthys (Genus)","Large-tooth flounders","Paralichthys (Large-tooth flounders)"
"ASV_7","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa mediocris","Hickory shad","Alosa mediocris (Hickory shad)"
"ASV_8","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Anchoa","Unknown Anchoa (Genus)","Anchovies (Anchoa)","Anchoa sp. (Anchovies)"
"ASV_9","Eukaryota","Chordata","Actinopteri","Gobiiformes","Gobiidae","Gobiosoma","Gobiosoma ginsburgi","Seaboard goby","Gobiosoma ginsburgi (Seaboard goby)"
"ASV_10","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus","Windowpane flounder","Scophthalmus aquosus (Windowpane flounder)"
"ASV_11","Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Centropristis","Centropristis striata","Black seabass","Centropristis striata (Black seabass)"
"ASV_12","Eukaryota","Chordata","Actinopteri","Spariformes","Sparidae","Stenotomus","Stenotomus chrysops","Scup","Stenotomus chrysops (Scup)"
"ASV_13","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus fuscus","Northern pipefish","Syngnathus fuscus (Northern pipefish)"
"ASV_15","Eukaryota","Chordata","Actinopteri","Sciaenidae__o","Sciaenidae","Leiostomus","Leiostomus xanthurus","Spot","Leiostomus xanthurus (Spot)"
"ASV_16","Eukaryota","Chordata","Actinopteri","Sciaenidae__o","Sciaenidae","Menticirrhus","Menticirrhus saxatilis","Northern kingfish","Menticirrhus saxatilis (Northern kingfish)"
"ASV_18","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus aenaeus","Grubby sculpin","Myoxocephalus aenaeus (Grubby sculpin)"
"ASV_19","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautoga","Tautoga onitis","Tautog","Tautoga onitis (Tautog)"
"ASV_20","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Unknown Pseudopleuronectes (Genus)","Righteye flounders","Pseudopleuronectes sp. (Righteye flounders)"
"ASV_21","Eukaryota","Chordata","Actinopteri","Moronidae__o","Moronidae","Morone","Morone saxatilis","Striped bass","Morone saxatilis (Striped bass)"
"ASV_30","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Etropus","Etropus microstomus","Smallmouth flounder","Etropus microstomus (Smallmouth flounder)"
"ASV_33","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides maculatus","Northern puffer","Sphoeroides maculatus (Northern puffer)"
"ASV_34","Eukaryota","Chordata","Actinopteri","Sciaenidae__o","Sciaenidae","Cynoscion","Cynoscion regalis","Weakfish","Cynoscion regalis (Weakfish)"
"ASV_35","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","Cunner","Tautogolabrus adspersus (Cunner)"
"ASV_38","Eukaryota","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata","American eel","Anguilla rostrata (American eel)"
"ASV_39","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Thunnus","Thunnus obesus","Bigeye tuna","Thunnus obesus (Bigeye tuna)"
