"","MP_T1S1_SCmiFish_S2_L002","MP_T1S2_SCmiFish_S3_L002","MP_T1S3_SCmiFish_S4_L002","MP_T1S4_SCmiFish_S5_L002","MP_T1S5_SCmiFish_S6_L002","MP_T1S6_SCmiFish_S7_L002","MP_T1S7_SCmiFish_S8_L002","MP_T1S8_SCmiFish_S9_L002","MP_T1S9_SCmiFish_S10_L002","MP_T1S10_SCmiFish_S11_L002","MP_T1S11_SCmiFish_S12_L002","MP_T1CTiana_SCmiFish_S13_L002","MP_T1CW_SCmiFish_S14_L002","MP_T1PosCon_SCmiFish_S16_L002","MP_T3S1_SCmiFish_S17_L002","MP_T3S2_SCmiFish_S18_L002","MP_T3S3_SCmiFish_S19_L002","MP_T3S5_SCmiFish_S21_L002","MP_T3S6_SCmiFish_S22_L002","MP_T3S7_SCmiFish_S23_L002","MP_T3S8_SCmiFish_S24_L002","MP_T3S10_SCmiFish_S26_L002","MP_T3S11_SCmiFish_S27_L002","MP_T3TC_SCmiFish_S28_L002","MP_T3WC_SCmiFish_S29_L002","MP_T5S1_SCmiFish_S32_L002","MP_T5S2_SCmiFish_S33_L002","MP_T5S3_SCmiFish_S34_L002","MP_T5S4_SCmiFish_S35_L002","MP_T5S5_SCmiFish_S36_L002","MP_T5S6_SCmiFish_S37_L002","MP_T5S7_SCmiFish_S38_L002","MP_T5S8_SCmiFish_S39_L002","MP_T5S9_SCmiFish_S40_L002","MP_T5S10_SCmiFish_S41_L002","MP_T5S11_SCmiFish_S42_L002","MP_T5Tiana_SCmiFish_S43_L002","MP_T5Wessuck_SCmiFish_S44_L002","MP_T5PosCon_SCmiFish_S46_L002","MP_T7S1_SCmiFish_S47_L002","MP_T7S2_SCmiFish_S48_L002","MP_T7S3_SCmiFish_S49_L002","MP_T7S4_SCmiFish_S50_L002","MP_T7S5_SCmiFish_S51_L002","MP_T7S6_SCmiFish_S52_L002","MP_T7S7_SCmiFish_S53_L002","MP_T7S8_SCmiFish_S54_L002","MP_T7S9_SCmiFish_S55_L002","MP_T7S10_SCmiFish_S56_L002","MP_T7S11_SCmiFish_S57_L002","MP_T7Tiana_SCmiFish_S58_L002","MP_T7Wessuck_SCmiFish_S59_L002","MP_T7PosCon_SCmiFish_S61_L002","MP_T9S1_SCmiFish_S62_L002","MP_T9S2_SCmiFish_S63_L002","MP_T9S3_SCmiFish_S64_L002","MP_T9S4_SCmiFish_S65_L002","MP_T9S5_SCmiFish_S66_L002","MP_T9S6_SCmiFish_S67_L002","MP_T9S7_SCmiFish_S68_L002","MP_T9S8_SCmiFish_S69_L002","MP_T9S9_SCmiFish_S70_L002","MP_T9S10_SCmiFish_S71_L002","MP_T9S11_SCmiFish_S72_L002","MP_T9Tiana_SCmiFish_S73_L002","MP_T9Wessuck_SCmiFish_S74_L002","MP_T9PosCon_SCmiFish_S76_L002","MP_T10S1_SCmiFish_S77_L002","MP_T10S2_SCmiFish_S78_L002","MP_T10S3_SCmiFish_S79_L002","MP_T10S4_SCmiFish_S80_L002","MP_T10S5_SCmiFish_S81_L002","MP_T10S6_SCmiFish_S82_L002","MP_T10S7_SCmiFish_S83_L002","MP_T10S8_SCmiFish_S84_L002","MP_T10S9_SCmiFish_S85_L002","MP_T10S10_SCmiFish_S86_L002","MP_T10S11_SCmiFish_S87_L002","MP_T10Tiana_SCmiFish_S88_L002","MP_T10Wessuck_SCmiFish_S89_L002","MP_T10PosCon_SCmiFish_S91_L002","MP_JSedge1_SCmiFish_S92_L002","MP_JSedge2_SCmiFish_S93_L002","MP_JSedge3_SCmiFish_S94_L002","MP_JSedge4_SCmiFish_S95_L002","MP_JSedge5_SCmiFish_S96_L002","MP_JSedge6_SCmiFish_S97_L002","MP_JSedge7_SCmiFish_S98_L002","MP_JSedge8_SCmiFish_S99_L002","MP_JSedge9_SCmiFish_S100_L002","MP_JSedge10_SCmiFish_S101_L002","MP_JCanal1_SCmiFish_S102_L002","MP_JCanal2_SCmiFish_S103_L002","MP_JCanal3_SCmiFish_S104_L002","MP_JCanal4_SCmiFish_S105_L002","MP_JCanal5_SCmiFish_S106_L002","MP_JCanal6_SCmiFish_S107_L002","MP_JCanal7_SCmiFish_S108_L002","MP_JCanal8_SCmiFish_S109_L002","MP_JPosCon_SCmiFish_S111_L002","MP_ASedge1_SCmiFish_S112_L002","MP_ASedge2_SCmiFish_S113_L002","MP_ASedge3_SCmiFish_S114_L002","MP_ASedge4_SCmiFish_S115_L002","MP_ASedge5_SCmiFish_S116_L002","MP_ASedge6_SCmiFish_S117_L002","MP_ASedge7_SCmiFish_S118_L002","MP_ASedge8_SCmiFish_S119_L002","MP_ASedge9_SCmiFish_S120_L002","MP_ASedge10_SCmiFish_S121_L002","MP_ACanal1_SCmiFish_S122_L002","MP_ACanal2_SCmiFish_S123_L002","MP_ACanal3_SCmiFish_S124_L002","MP_ACanal4_SCmiFish_S125_L002","MP_ACanal5_SCmiFish_S126_L002","MP_ACanal6_SCmiFish_S127_L002","MP_ACanal7_SCmiFish_S128_L002","MP_ACanal8_SCmiFish_S129_L002","MP_APosCon_SCmiFish_S131_L002","MP_SSedge1_SCmiFish_S132_L002","MP_SSedge2_SCmiFish_S133_L002","MP_SSedge3_SCmiFish_S134_L002","MP_SSedge4_SCmiFish_S135_L002","MP_SSedge5_SCmiFish_S136_L002","MP_SSedge6_SCmiFish_S137_L002","MP_SSedge7_SCmiFish_S138_L002","MP_SSedge8_SCmiFish_S139_L002","MP_SSedge9_SCmiFish_S140_L002","MP_SSedge10_SCmiFish_S141_L002","MP_SCanal1_SCmiFish_S142_L002","MP_SCanal2_SCmiFish_S143_L002","MP_SCanal3_SCmiFish_S144_L002","MP_SCanal4_SCmiFish_S145_L002","MP_SCanal5_SCmiFish_S146_L002","MP_SCanal6_SCmiFish_S147_L002","MP_SCanal7_SCmiFish_S148_L002","MP_SCanal8_SCmiFish_S149_L002"
"ASV_1",0,0,0,164414,0,0,30955,29048,0,31054,0,95556,386735,0,0,23595,0,0,0,282857,0,0,0,304222,186101,358350,71605,14498,74664,99528,374518,44816,61936,228415,160863,5942,119725,302087,0,436649,119444,10266,0,0,292873,35481,27931,302320,163686,426265,430261,695877,0,261448,8068,29415,187697,5277,464773,61437,22864,182771,3831,277875,565347,373354,0,196445,24390,0,152282,84694,284347,0,0,278791,0,280521,0,448968,0,93039,88480,155176,76978,0,138250,181024,102537,186453,241514,0,0,70586,0,60219,142154,62523,185207,0,145527,259007,117660,350574,145353,285910,87005,21658,165315,155207,35343,256715,130913,97135,59600,74273,53883,278891,0,773,0,0,12339,0,0,0,0,3958,24391,308816,129192,59793,29584,172505,84772,41946,13164
"ASV_2",0,0,597891,0,0,0,0,0,0,0,0,0,0,122674,0,0,229167,0,0,0,0,0,0,0,0,34206,28719,166785,83197,120172,0,61833,74459,18055,153981,107423,89381,40242,0,0,1402,206373,49589,482554,30820,5955,9973,2315,22441,0,0,0,168073,157338,41417,59878,0,91325,0,33156,54887,44824,541322,75125,3491,25345,117550,0,0,231235,1783,0,0,196590,299580,0,77905,45498,54641,18160,271270,33116,34009,125986,150753,0,215656,225473,162476,234295,159396,250155,64802,52958,119310,27515,18225,160131,145349,4467,55496,70096,32818,21248,150398,46572,258804,475457,271040,160462,103196,101790,150629,50442,38287,214972,42776,34772,0,15050,116420,18205,0,242323,308310,216298,63811,76780,91856,66977,32826,57556,70776,94204,58795,106748,0
"ASV_3",47508,239750,6781,52402,426244,245076,333775,476263,751813,292340,718002,107038,26241,0,351692,416712,33611,265997,383729,171512,122869,434650,291695,114496,3336,510,0,0,11115,0,0,42802,38349,71628,0,17380,0,0,0,0,312823,134771,0,275608,53963,0,639,12523,8357,0,0,0,7043,26894,47386,44589,15086,0,0,0,25485,0,31538,0,0,42629,0,310998,122251,0,48448,0,0,101467,84857,0,0,27656,15450,0,0,0,30385,0,108702,0,0,0,28833,0,9881,34030,55075,35271,43613,11219,0,0,0,0,3520,0,26361,14785,12666,21379,9340,0,7594,0,40207,0,36555,0,0,0,51985,50821,0,13550,59255,235894,152250,19107,41572,0,62934,13243,46465,30786,54061,35121,0,62524,193860,0,3986
"ASV_4",356215,0,0,244595,0,0,60912,0,0,198840,0,0,0,0,0,34673,19480,0,0,0,0,110423,0,0,0,0,11698,15818,8086,0,0,97441,56655,0,76535,85348,0,0,0,55176,0,41828,0,0,15386,173068,17722,0,0,0,106388,16370,0,54203,158090,35935,49433,4940,0,114385,100483,0,32255,2771,14269,0,0,60893,0,136553,14360,0,0,49271,0,0,41384,65576,95739,4878,0,0,0,0,0,115670,80532,75599,0,0,6212,1100,0,0,0,18264,14464,0,0,0,104378,22228,239417,0,41162,0,31135,0,0,133466,22519,0,0,25118,12636,0,0,0,0,411834,365820,0,25299,0,38740,215594,147405,152560,62434,0,11000,0,21106,62853,54075,44166,18635
"ASV_5",0,0,0,0,0,0,0,0,0,0,0,0,0,677724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189893,0,0,0,0,0,0,0,0,0,0,0,0,0,469580,0,0,0,0,0,0,0,0,0,0,0,0,0,338297,0,0,0,0,0,0,0,0,0,0,0,0,0,275639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_6",0,0,0,0,0,0,0,0,0,0,0,184185,0,0,0,16293,0,0,0,0,117469,29706,7821,0,4844,30102,51559,11869,21975,6042,0,0,0,11303,0,0,0,0,0,0,0,3404,42776,0,30753,0,0,0,0,0,0,0,0,0,27382,13104,0,5172,0,25197,0,0,0,5178,2529,0,0,0,0,92086,0,0,0,0,0,0,0,0,0,0,0,68016,21434,0,104204,107997,28002,21778,65255,46185,0,0,109442,0,31128,0,0,58558,33557,562,15256,0,0,0,24928,0,16382,7395,51996,0,134622,0,58801,35289,0,24323,8424,0,0,19913,0,0,47003,20573,11623,58386,0,18434,27050,9783,0,74658,66020,14280,0,0,16047
"ASV_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40142,0,0,0,0,0,6397,0,39644,0,16450,7697,0,26125,26604,145777,23062,10485,0,0,0,0,0,0,0,0,0,56577,142088,118856,355009,79841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6385,0,66600,16491,0,58848,0,0,0,0,0,0,0,0,0,0,0
"ASV_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4030,18754,0,0,0,11568,0,0,0,55187,0,0,629,0,0,0,0,0,6951,0,0,0,19727,14380,0,0,0,0,0,0,0,16731,18747,11077,0,0,0,28351,0,0,0,0,0,0,0,0,0,0,35037,0,0,0,0,0,0,0,0,0,5562,0,66294,0,4820,13738,30235,26163,29878,87567,120059,24260,126670,0,0,17958,0,0,0,0,7426,738,0,17683,183837,139617,0,115415,14833,107853,22318,0,0,0,0,0,24651,0,0,0,0,0,30601,0,0,0,0,0,0,82872,204964
"ASV_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207850,0,0,4151,0,40769,0,26486,0,1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6220,0,14627,5687,0,14925,0,0,16123,3235,0,0,0,39726,0,0,0,106990,0,24867,0,0,0,0,0,0,0,0,0,0,0,0,41112,0,0,0,0,0,14534,0,0,0,21476,0,0,0,0,0,0,12653,0,0,0,0,0,0,0,0,0,31830,0,15458,0,0,0,0,0,0,0,0,0,0,9970,17543,0,47206,6533,10847,0,0,0,16686
"ASV_11",0,0,0,0,0,0,0,0,0,0,0,0,0,319423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35004,0,0,0,0,0,0,0,0,0,0,0,0,0,60869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
