"","lat","long","replicates","sites","site_altname","controls","Datecode","Date","Year","Month","Day","Bayside","Station","Habitat","DO","Salinity","Temperature"
"MP_T1S1_SCmiFish_S2_L002",40.83347403,-72.55252498,"T1S1",12,"12",NA,20210525,"5/25/21",2021,5,25,"WEST","PINE NECK","OPEN WATER",7.63,30.9,17.4
"MP_T1S2_SCmiFish_S3_L002",40.83791502,-72.53677203,"T1S2",10,"10",NA,20210525,"5/25/21",2021,5,25,"WEST","WEST MID BAY","OPEN WATER",8,31.2,15.8
"MP_T1S3_SCmiFish_S4_L002",40.82872904,-72.53193802,"T1S3",9,"9",NA,20210525,"5/25/21",2021,5,25,"WEST","DUNE ROAD","OPEN WATER",7.58,31,18.3
"MP_T1S4_SCmiFish_S5_L002",40.84862902,-72.54801502,"T1S4",8,"8",NA,20210525,"5/25/21",2021,5,25,"WEST","WEST TIANA","OPEN WATER",8.72,31.1,15.7
"MP_T1S5_SCmiFish_S6_L002",40.84659498,-72.50059901,"T1S5",4,"4",NA,20210525,"5/25/21",2021,5,25,"EAST","PONQUOGUE BRIDGE","OPEN WATER",8.36,31.1,17.1
"MP_T1S6_SCmiFish_S7_L002",40.850855,-72.488632,"T1S6",3,"3",NA,20210525,"5/25/21",2021,5,25,"EAST","INLET","OPEN WATER",9.16,30.9,15.9
"MP_T1S7_SCmiFish_S8_L002",40.86263903,-72.49350901,"T1S7",2,"2",NA,20210525,"5/25/21",2021,5,25,"EAST","CORMORANT POINT","OPEN WATER",8.1,30.4,17.6
"MP_T1S8_SCmiFish_S9_L002",40.88104301,-72.48041698,"T1S8",1,"1",NA,20210525,"5/25/21",2021,5,25,"EAST","SHINNECOCK HILLS","OPEN WATER",7.57,29,19.5
"MP_T1S9_SCmiFish_S10_L002",40.86852003,-72.47460597,"T1S9",13,"13",NA,20210525,"5/25/21",2021,5,25,"EAST","EAST MID BAY","OPEN WATER",8.3,30.2,17.7
"MP_T1S10_SCmiFish_S11_L002",40.85579203,-72.45562004,"T1S10",11,"11",NA,20210525,"5/25/21",2021,5,25,"EAST","SOUTH GRASS","OPEN WATER",8.82,31,17.5
"MP_T1S11_SCmiFish_S12_L002",40.87629701,-72.45737102,"T1S11",7,"7",NA,20210525,"5/25/21",2021,5,25,"EAST","LITTLE POND","OPEN WATER",8.67,29.4,19.4
"MP_T1CTiana_SCmiFish_S13_L002",40.86009,-72.537887,"T1Tiana",24,"Tiana",NA,20210525,"5/25/21",2021,5,25,NA,"TIANA CLAM","CLAM SANCTUARY",NA,NA,NA
"MP_T1CW_SCmiFish_S14_L002",40.83866,-72.57004,"T1Wessuck",23,"WC",NA,20210525,"5/25/21",2021,5,25,NA,"WESSUCK CLAM","CLAM SANCTUARY",NA,NA,NA
"MP_T1PosCon_SCmiFish_S16_L002",NA,NA,"T1PosCon",NA,NA,"positive",20210525,"5/25/21",2021,5,25,NA,NA,NA,NA,NA,NA
"MP_T3S1_SCmiFish_S17_L002",40.83347403,-72.55252498,"T3S1",12,"12",NA,20210622,"6/22/21",2021,6,22,"WEST","PINE NECK","OPEN WATER",6.7,30.4,20.8
"MP_T3S2_SCmiFish_S18_L002",40.83791502,-72.53677203,"T3S2",10,"10",NA,20210622,"6/22/21",2021,6,22,"WEST","WEST MID BAY","OPEN WATER",6.8,30.8,20.1
"MP_T3S3_SCmiFish_S19_L002",40.82872904,-72.53193802,"T3S3",9,"9",NA,20210622,"6/22/21",2021,6,22,"WEST","DUNE ROAD","OPEN WATER",6.8,30.5,22.1
"MP_T3S5_SCmiFish_S21_L002",40.84659498,-72.50059901,"T3S5",4,"4",NA,20210622,"6/22/21",2021,6,22,"EAST","PONQUOGUE BRIDGE","OPEN WATER",7.3,31.3,19.9
"MP_T3S6_SCmiFish_S22_L002",40.850855,-72.488632,"T3S6",3,"3",NA,20210622,"6/22/21",2021,6,22,"EAST","INLET","OPEN WATER",8.1,31.7,16.7
"MP_T3S7_SCmiFish_S23_L002",40.86263903,-72.49350901,"T3S7",2,"2",NA,20210622,"6/22/21",2021,6,22,"EAST","CORMORANT POINT","OPEN WATER",7.2,30.1,21.7
"MP_T3S8_SCmiFish_S24_L002",40.88104301,-72.48041698,"T3S8",1,"1",NA,20210622,"6/22/21",2021,6,22,"EAST","SHINNECOCK HILLS","OPEN WATER",8.4,29.4,23.6
"MP_T3S10_SCmiFish_S26_L002",40.85579203,-72.45562004,"T3S10",11,"11",NA,20210622,"6/22/21",2021,6,22,"EAST","SOUTH GRASS","OPEN WATER",7.9,30.4,22.1
