"","MP_ACanal1_S3_L002","MP_ACanal2_S3_L002","MP_ACanal3_S3_L002","MP_ACanal4_S3_L002","MP_ACanal5_S3_L002","MP_ACanal6_S3_L002","MP_ACanal7_S3_L002","MP_ACanal8_S3_L002","MP_APosCon_S3_L002","MP_ASedge1_S2_L002","MP_ASedge10_S3_L002","MP_ASedge2_S2_L002","MP_ASedge3_S2_L002","MP_ASedge4_S2_L002","MP_ASedge5_S2_L002","MP_ASedge6_S3_L002","MP_ASedge7_S3_L002","MP_ASedge8_S3_L002","MP_ASedge9_S3_L002","MP_JCanal1_S2_L002","MP_JCanal2_S2_L002","MP_JCanal3_S2_L002","MP_JCanal4_S2_L002","MP_JCanal5_S2_L002","MP_JCanal6_S2_L002","MP_JCanal7_S2_L002","MP_JCanal8_S2_L002","MP_JPosCon_S2_L002","MP_JSedge1_S2_L002","MP_JSedge10_S2_L002","MP_JSedge2_S2_L002","MP_JSedge3_S2_L002","MP_JSedge4_S2_L002","MP_JSedge5_S2_L002","MP_JSedge6_S2_L002","MP_JSedge7_S2_L002","MP_JSedge8_S2_L002","MP_JSedge9_S2_L002","MP_OCanal1_S3_L002","MP_OCanal2_S3_L002","MP_OCanal3_S3_L002","MP_OCanal4_S3_L002","MP_OCanal5_S3_L002","MP_OCanal6_S3_L002","MP_OCanal7_S3_L002","MP_OCanal8_S3_L002","MP_OPosCon_S3_L002","MP_OSedge1_S3_L002","MP_OSedge10_S3_L002","MP_OSedge2_S3_L002","MP_OSedge3_S3_L002","MP_OSedge4_S3_L002","MP_OSedge5_S3_L002","MP_OSedge6_S3_L002","MP_OSedge7_S3_L002","MP_OSedge8_S3_L002","MP_OSedge9_S3_L002","MP_T1Blank_S1_L002","MP_T1PosCon_S1_L002","MP_T1S1_S1_L002","MP_T1S10_S1_L002","MP_T1S11_S1_L002","MP_T1S2_S1_L002","MP_T1S3_S1_L002","MP_T1S4_S1_L002","MP_T1S5_S1_L002","MP_T1S6_S1_L002","MP_T1S7_S1_L002","MP_T1S8_S1_L002","MP_T1S9_S1_L002","MP_T1Tiana_S1_L002","MP_T1Wessuck_S1_L002","MP_T3PosCon_S1_L002","MP_T3S1_S1_L002","MP_T3S10_S1_L002","MP_T3S11_S1_L002","MP_T3S2_S1_L002","MP_T3S3_S1_L002","MP_T3S4_S1_L002","MP_T3S5_S1_L002","MP_T3S6_S1_L002","MP_T3S7_S1_L002","MP_T3S8_S1_L002","MP_T3S9_S1_L002","MP_T3Tiana_S1_L002","MP_T3Wessuck_S1_L002","MP_T5PosCon_S2_L002","MP_T5S1_S1_L002","MP_T5S10_S2_L002","MP_T5S11_S2_L002","MP_T5S2_S1_L002","MP_T5S3_S1_L002","MP_T5S4_S1_L002","MP_T5S5_S1_L002","MP_T5S6_S2_L002","MP_T5S7_S2_L002","MP_T5S8_S2_L002","MP_T5S9_S2_L002","MP_T5Tiana_S2_L002","MP_T5Wessuck_S2_L002"
"ASV_1_a",73903,127725,63077,30879,55351,98958,90486,106038,4328,130064,48617,146673,110609,148180,93382,300463,55162,99211,97307,82313,91690,118710,76433,103586,61940,77180,168061,4284,99942,107936,132963,104958,119257,108745,114415,92231,107924,53113,16417,52992,65211,46716,74913,5858,58246,105634,1691,211656,2012,84002,61363,174509,94773,44423,2968,57141,62704,695,3402,130805,49886,52805,84533,60698,93667,3511,127971,22400,77537,169186,222678,93848,2787,74615,48367,79966,67800,32051,94173,38797,23614,240872,95457,32281,42810,51556,5242,133683,74882,120747,84616,3946,186194,88868,112941,80786,173987,109912,91863,182369
"ASV_3_a",9922,6465,6846,2256,635,29051,839,2375,776,38610,12192,32306,14556,0,43659,141981,9680,88652,65098,83556,17021,31997,1476,60217,8719,30542,8821,1224,47171,26984,44470,14582,4217,43926,11492,26843,37307,17130,0,0,734,858,0,865,653,902,0,813,0,1109,803,923,847,732,599,573,0,0,0,18376,0,0,0,0,0,22622,0,0,0,0,0,0,0,22016,0,0,24250,15276,0,36510,0,0,0,0,0,0,525,0,1100,1359,0,0,0,0,1165,1280,1288,1453,1477,638
"ASV_5_a",8987,4048,8345,3827,19814,59650,61351,42839,553,513,0,0,638,0,544,1470,0,43134,9418,736,7081,752,19502,748,23212,14915,60574,538,3030,627,698,910,7056,7053,0,786,664,0,0,0,584,675,0,654,535,625,0,551,0,709,528,621,610,520,0,0,0,0,0,0,0,0,14406,0,0,0,0,0,0,0,0,0,0,0,0,27192,21888,0,0,0,7747,0,87654,0,0,0,0,17131,36179,540,0,0,0,0,0,51594,501,13113,628,8678
"ASV_6_a",0,2949,0,3132,0,552,0,503,613,0,0,0,0,0,3147,986,0,0,0,605,0,49361,16674,8463,11385,16917,5576,99888,0,0,5274,733,0,629,0,678,1798,4700,18918,18484,29416,70179,0,36557,6170,652,0,0,0,555,42305,0,0,0,9255,0,0,35850,18460,7036,0,0,0,16681,0,0,0,0,0,0,0,8058,0,0,0,0,0,14363,0,10852,0,0,0,0,0,673,0,0,0,0,0,0,0,0,0,0,0,12152,574,4154
"ASV_7_a",0,21281,7194,2479,3545,19074,84976,530,613,0,0,54291,44017,690,8289,1230,0,38538,586,10673,0,0,0,0,12240,0,0,0,4761,0,0,5944,3357,5756,2617,0,0,3913,0,0,529,623,0,613,0,567,0,519,0,577,0,569,536,516,0,0,0,0,613,835,0,652,8105,3896,735,589,616,17825,30411,33154,825,654,506,0,31349,19443,641,682,20997,793,0,58933,565,8403,0,0,864,22749,0,0,8592,675,823,711,0,0,10839,586,0,4912
"ASV_8_a",0,0,0,0,0,0,0,0,0,525,0,0,567,0,0,64891,0,0,0,683,10581,817,5272,26164,0,24041,7272,0,2430,635,11343,73278,9878,661,2890,757,20097,0,0,35500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12510,0,0,48202,8270,9968,28935,12131,0,0,0,0,3890,0,0,0,17909,0,0,7180,0,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0,0,515,533,573,0
"ASV_9_a",5116,0,0,0,0,0,8679,8228,0,0,0,797,0,64484,0,730,0,0,51498,0,4438,4017,0,27445,0,0,0,0,2225,0,0,33914,1991,6495,14947,0,9308,0,0,0,0,0,0,32218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,12858,23752,71370,5654,8554,3678,36929,687,18702,559,16499,795,3881,0,1822,539,578,12049,619,11907,10999,0,776,563,0,0,0,738,11201,0,0,587,667,12118,633,0,0,0,0,0,855
"ASV_10_a",0,0,0,0,0,690,566,611,190075,0,0,0,0,0,0,1428,0,685,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,939,0,835,673,718,72839,727,0,702,700,746,660,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_13_a",0,25218,8938,0,0,0,0,0,0,0,0,0,502,0,10976,906,4677,0,0,50383,13154,545,14633,588,0,26702,1407,0,0,568,583,659,1910,558,0,586,590,11188,0,0,23061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2440,0,0,0,0,0,0,0,0,0,0,0,0,0,1319,0,0,0,0,0,0,0,0,0,0,0,0,23122,4249
"ASV_16_a",0,5571,1738,0,0,0,11114,16728,0,0,0,20105,23083,0,0,73714,0,0,0,13418,0,0,4211,0,0,7054,1948,0,0,0,0,3261,1287,0,0,0,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5299,6412,5679,0,19607,0,12041,525,0,31614,0,0,0,9163,45790,0,0,13590,25604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
