"","lat","long","replicates","sites","controls","Datecode","Date","Year","Month","Day","Bayside","Station","Habitat","DO","Temperature","Salinity","Time"
"MP_ACanal1_S3_L002",NA,NA,"ACanal1",41,NA,20220829,"8/29/22",2022,8,29,NA,"Canal 1","OYSTER REEF",6.09,26.5,31.2,NA
"MP_ACanal2_S3_L002",NA,NA,"ACanal2",42,NA,20220829,"8/29/22",2022,8,29,NA,"Canal 2","OYSTER REEF",5.85,26.4,31.2,NA
"MP_ACanal3_S3_L002",NA,NA,"ACanal3",43,NA,20220829,"8/29/22",2022,8,29,NA,"Canal 3","OYSTER REEF",5.2,26.3,31.3,NA
"MP_ACanal4_S3_L002",40.812303,-72.590097,"ACanal4",26,NA,20220829,"8/29/22",2022,8,29,NA,"Canal 4","OYSTER REEF",5.65,26.2,31.3,NA
"MP_ACanal5_S3_L002",40.81168333,-72.59206667,"ACanal5",34,NA,20220829,"8/29/22",2022,8,29,NA,"Canal 5","OYSTER REEF",5.01,26.2,31.3,NA
"MP_ACanal6_S3_L002",NA,NA,"ACanal6",44,NA,20220829,"8/29/22",2022,8,29,NA,"Canal 6","OYSTER REEF",4.9,26.1,31.3,NA
"MP_ACanal7_S3_L002",NA,NA,"ACanal7",45,NA,20220829,"8/29/22",2022,8,29,NA,"Canal 7","OYSTER REEF",5,26.1,31.2,NA
"MP_ACanal8_S3_L002",NA,NA,"ACanal8",46,NA,20220829,"8/29/22",2022,8,29,NA,"Canal 8","OYSTER REEF",6.43,26.9,30.9,NA
"MP_APosCon_S3_L002",NA,NA,"APosCon",NA,"positive",20220829,"8/29/22",2022,8,29,NA,NA,"OYSTER REEF",NA,NA,NA,NA
"MP_ASedge1_S2_L002",40.8240833,72.5662167,"ASedge1",25,NA,20220829,"8/29/22",2022,8,29,NA,"Sedge 1","OYSTER REEF",4.9,25.9,31.5,NA
"MP_ASedge10_S3_L002",NA,NA,"ASedge10",40,NA,20220829,"8/29/22",2022,8,29,NA,"Sedge 10","OYSTER REEF",5.2,26,31.6,NA
"MP_ASedge2_S2_L002",NA,NA,"ASedge2",35,NA,20220829,"8/29/22",2022,8,29,NA,"Sedge 2","OYSTER REEF",5.29,25.9,31.7,NA
"MP_ASedge3_S2_L002",40.82661667,-72.56753333,"ASedge3",31,NA,20220829,"8/29/22",2022,8,29,NA,"Sedge 3","OYSTER REEF",5.39,26,31.7,NA
"MP_ASedge4_S2_L002",NA,NA,"ASedge4",36,NA,20220829,"8/29/22",2022,8,29,NA,"Sedge 4","OYSTER REEF",5.55,25.6,31.8,NA
"MP_ASedge5_S2_L002",NA,NA,"ASedge5",37,NA,20220829,"8/29/22",2022,8,29,NA,"Sedge 5","OYSTER REEF",5.36,25.6,31.8,NA
"MP_ASedge6_S3_L002",40.82493333,-72.56288333,"ASedge6",32,NA,20220829,"8/29/22",2022,8,29,NA,"Sedge 6","OYSTER REEF",5.27,25.5,31.8,NA
"MP_ASedge7_S3_L002",NA,NA,"ASedge7",38,NA,20220829,"8/29/22",2022,8,29,NA,"Sedge 7","OYSTER REEF",4.86,25.3,32,NA
"MP_ASedge8_S3_L002",NA,NA,"ASedge8",39,NA,20220829,"8/29/22",2022,8,29,NA,"Sedge 8","OYSTER REEF",5.17,26,31.5,NA
"MP_ASedge9_S3_L002",40.82318333,-72.56958333,"ASedge9",33,NA,20220829,"8/29/22",2022,8,29,NA,"Sedge 9","OYSTER REEF",5.21,25.9,31.5,NA
"MP_JCanal1_S2_L002",NA,NA,"JCanal1",41,NA,20220726,"7/26/22",2022,7,26,NA,"Canal 1","OYSTER REEF",3.85,26.4,30.2,NA
"MP_JCanal2_S2_L002",NA,NA,"JCanal2",42,NA,20220726,"7/26/22",2022,7,26,NA,"Canal 2","OYSTER REEF",4.03,26.2,30.2,NA
"MP_JCanal3_S2_L002",NA,NA,"JCanal3",43,NA,20220726,"7/26/22",2022,7,26,NA,"Canal 3","OYSTER REEF",4.21,26.2,30.2,NA
"MP_JCanal4_S2_L002",40.812303,-72.590097,"JCanal4",26,NA,20220726,"7/26/22",2022,7,26,NA,"Canal 4","OYSTER REEF",4.19,26.2,30.2,NA
"MP_JCanal5_S2_L002",40.81168333,-72.59206667,"JCanal5",34,NA,20220726,"7/26/22",2022,7,26,NA,"Canal 5","OYSTER REEF",4,26.3,30.2,NA
"MP_JCanal6_S2_L002",NA,NA,"JCanal6",44,NA,20220726,"7/26/22",2022,7,26,NA,"Canal 6","OYSTER REEF",3.95,26.3,30.2,NA
"MP_JCanal7_S2_L002",NA,NA,"JCanal7",45,NA,20220726,"7/26/22",2022,7,26,NA,"Canal 7","OYSTER REEF",3.76,26.3,30.1,NA
"MP_JCanal8_S2_L002",NA,NA,"JCanal8",46,NA,20220726,"7/26/22",2022,7,26,NA,"Canal 8","OYSTER REEF",3.9,26.3,30,NA
"MP_JPosCon_S2_L002",NA,NA,"JPosCon",NA,"positive",20220726,"7/26/22",2022,7,26,NA,NA,"OYSTER REEF",NA,NA,NA,NA
"MP_JSedge1_S2_L002",40.8240833,72.5662167,"JSedge1",25,NA,20220726,"7/26/22",2022,7,26,NA,"Sedge 1","OYSTER REEF",3.24,25.1,30.2,NA
"MP_JSedge10_S2_L002",NA,NA,"JSedge10",40,NA,20220726,"7/26/22",2022,7,26,NA,"Sedge 10","OYSTER REEF",3.77,25.5,30.1,NA
"MP_JSedge2_S2_L002",NA,NA,"JSedge2",35,NA,20220726,"7/26/22",2022,7,26,NA,"Sedge 2","OYSTER REEF",3.83,25.5,30.3,NA
"MP_JSedge3_S2_L002",40.82661667,-72.56753333,"JSedge3",31,NA,20220726,"7/26/22",2022,7,26,NA,"Sedge 3","OYSTER REEF",4.33,25.9,30.4,NA
"MP_JSedge4_S2_L002",NA,NA,"JSedge4",36,NA,20220726,"7/26/22",2022,7,26,NA,"Sedge 4","OYSTER REEF",4.3,25.8,30.6,NA
"MP_JSedge5_S2_L002",NA,NA,"JSedge5",37,NA,20220726,"7/26/22",2022,7,26,NA,"Sedge 5","OYSTER REEF",3.88,25.2,30.4,NA
"MP_JSedge6_S2_L002",40.82493333,-72.56288333,"JSedge6",32,NA,20220726,"7/26/22",2022,7,26,NA,"Sedge 6","OYSTER REEF",3.87,25.1,30.4,NA
"MP_JSedge7_S2_L002",NA,NA,"JSedge7",38,NA,20220726,"7/26/22",2022,7,26,NA,"Sedge 7","OYSTER REEF",3.91,25,30.4,NA
"MP_JSedge8_S2_L002",NA,NA,"JSedge8",39,NA,20220726,"7/26/22",2022,7,26,NA,"Sedge 8","OYSTER REEF",3.66,25.3,30.2,NA
"MP_JSedge9_S2_L002",40.82318333,-72.56958333,"JSedge9",33,NA,20220726,"7/26/22",2022,7,26,NA,"Sedge 9","OYSTER REEF",3.82,25.5,30.2,NA
"MP_OCanal1_S3_L002",NA,NA,"OCanal1",41,NA,20221024,"10/24/22",2022,10,24,NA,"Canal 1","OYSTER REEF",7.45,14.3,30.3,NA
"MP_OCanal2_S3_L002",NA,NA,"OCanal2",42,NA,20221024,"10/24/22",2022,10,24,NA,"Canal 2","OYSTER REEF",7.37,14.3,30.3,NA
"MP_OCanal3_S3_L002",NA,NA,"OCanal3",43,NA,20221024,"10/24/22",2022,10,24,NA,"Canal 3","OYSTER REEF",7.36,14.2,30.1,NA
"MP_OCanal4_S3_L002",40.812303,-72.590097,"OCanal4",26,NA,20221024,"10/24/22",2022,10,24,NA,"Canal 4","OYSTER REEF",7.41,14.2,30.1,NA
"MP_OCanal5_S3_L002",40.81168333,-72.59206667,"OCanal5",34,NA,20221024,"10/24/22",2022,10,24,NA,"Canal 5","OYSTER REEF",7.36,14.3,30.2,NA
"MP_OCanal6_S3_L002",NA,NA,"OCanal6",44,NA,20221024,"10/24/22",2022,10,24,NA,"Canal 6","OYSTER REEF",7.41,14.3,30.2,NA
"MP_OCanal7_S3_L002",NA,NA,"OCanal7",45,NA,20221024,"10/24/22",2022,10,24,NA,"Canal 7","OYSTER REEF",7.33,14.3,30.2,NA
"MP_OCanal8_S3_L002",NA,NA,"OCanal8",46,NA,20221024,"10/24/22",2022,10,24,NA,"Canal 8","OYSTER REEF",7.35,14.3,30.1,NA
"MP_OPosCon_S3_L002",NA,NA,"OPosCon",NA,"positive",20221024,"10/24/22",2022,10,24,NA,NA,"OYSTER REEF",NA,NA,NA,NA
"MP_OSedge1_S3_L002",40.8240833,72.5662167,"OSedge1",25,NA,20221024,"10/24/22",2022,10,24,NA,"Sedge 1","OYSTER REEF",7.68,14.3,30.9,NA
"MP_OSedge10_S3_L002",NA,NA,"OSedge10",40,NA,20221024,"10/24/22",2022,10,24,NA,"Sedge 10","OYSTER REEF",7.69,14.2,30.6,NA
