"","MP_T2Positive_S1_L002","MP_T2S1_S1_L002","MP_T2S2_S1_L002","MP_T2S3_S1_L002","MP_T2S4_S1_L002","MP_T2S5_S1_L002","MP_T2S6_S1_L002","MP_T2S7_S1_L002","MP_T2S8_S1_L002","MP_T2S9_S1_L002","MP_T2S10_S1_L002","MP_T2S11_S1_L002","MP_T2WC_S1_L002","MP_T2Tiana_S1_L002","MP_T3Positive_S1_L002","MP_T3S1_S1_L002","MP_T3S2_S1_L002","MP_T3S3_S1_L002","MP_T3S4_S1_L002","MP_T3S5_S1_L002","MP_T3S6_S1_L002","MP_T3S7_S1_L002","MP_T3S8_S1_L002","MP_T3S9_S1_L002","MP_T3S10_S1_L002","MP_T3S11_S1_L002","MP_T3WC_S1_L002","MP_T3Tiana_S1_L002","MP_T5Blank_S2_L002","MP_T5Positive_S2_L002","MP_T5S1_S1_L002","MP_T5S2_S1_L002","MP_T5S3_S2_L002","MP_T5S4_S2_L002","MP_T5S5_S2_L002","MP_T5S6_S2_L002","MP_T5S7_S2_L002","MP_T5S8_S2_L002","MP_T5S9_S2_L002","MP_T5S10_S2_L002","MP_T5S11_S2_L002","MP_T5WC_S2_L002","MP_T5Tiana_S2_L002","MP_A_Positive_S2_L002","MP_AC4_S2_L002","MP_AC5_S2_L002","MP_AS1_S2_L002","MP_AS3_S2_L002","MP_AS6_S2_L002","MP_AS9_S2_L002","MP_J_Positive_S2_L002","MP_JC4_S2_L002","MP_JC5_S2_L002","MP_JS1_S2_L002","MP_JS3_S2_L002","MP_JS6_S2_L002","MP_JS9_S2_L002","MP_S_Positive_S2_L002","MP_SC4_S2_L002","MP_SC5_S2_L002","MP_SS1_S2_L002","MP_SS3_S2_L002","MP_SS6_S2_L002","MP_SS9_S2_L002"
"ASV_1",4179,81952,91500,47099,45850,67710,65823,27085,104994,45877,20824,90198,78833,111025,3399,115449,108621,57998,51363,22734,93760,81765,29539,80883,55015,66389,129260,72782,6319,10602,96064,44687,84151,152258,65284,107287,47622,165316,80288,58372,123433,128332,112920,2764,99742,100891,71334,146763,123863,79055,5826,89938,110138,67414,84654,49406,35715,43303,112735,188081,113707,135027,124354,105038
"ASV_2",77964,80999,89325,51044,69478,29279,89436,65110,34983,78928,64908,56723,84478,75099,2460,44346,70802,61173,47986,25048,5568,36654,44913,22839,21396,36912,3658,45696,264608,1844,30512,65082,56332,34064,23265,13009,18800,3652,37135,11259,53694,37630,27046,1450,37865,3688,28174,65003,46924,45274,3835,116200,61818,64035,79777,90330,168300,3432,91396,16530,17520,102071,69258,97893
"ASV_3",77093,30800,1894,2421,37961,1919,24044,12738,8545,40066,14551,1986,16823,42982,96235,2013,57130,35205,58333,14167,8795,1473,34434,29962,15420,16767,1668,1502,1319,92441,1301,18471,1167,1337,26310,15829,940,1165,29237,60390,980,1071,1089,75910,1685,1218,826,1347,1036,1145,80324,1333,1409,1072,1200,23446,1505,67413,1436,1543,1389,1291,1268,30311
"ASV_5",1048,1380,1221,664,10309,22383,6897,22603,8765,1122,21090,15818,1243,1354,17852,23141,14624,1233,24763,15107,1239,36028,1047,6707,21840,33448,1749,1049,904,554,16296,1162,12148,59386,20662,52737,36986,857,5673,719,806,6600,16251,0,1121,13816,515,955,753,8039,909,926,953,812,853,29613,883,11474,958,1069,26471,883,1027,1062
"ASV_6",675,2594,838,0,2564,8025,5271,619,8301,902,11305,824,904,867,617,952,1100,813,9167,769,16560,24591,14690,694,14393,3562,720,689,1158,582,29211,29303,33855,1109,12892,6519,14130,82193,3381,31057,22060,14526,814,0,14123,943,634,919,20906,873,1016,1059,1208,983,920,1177,1117,928,1172,24328,27768,1109,14909,1159
"ASV_7",852,14273,13228,4646,9883,10727,8063,769,6595,24767,5308,865,21510,7059,653,928,1191,3984,15362,767,663,6636,10975,10489,12984,19631,801,688,992,641,20970,825,867,944,19279,904,46765,935,10607,22249,846,776,13871,0,50774,826,19194,925,732,6565,920,15631,1168,23753,1081,1123,1034,893,37600,1061,26651,997,8862,1213
"ASV_8",62639,0,0,0,0,0,0,0,0,0,0,0,0,0,27059,0,0,0,0,0,0,0,0,0,0,0,0,0,987,89051,0,0,853,1000,721,961,666,907,724,830,818,866,826,85743,1276,1011,586,1043,886,852,135244,1111,1148,758,893,1165,1064,74269,1075,1280,1107,1130,959,1051
"ASV_11",0,0,0,0,0,0,0,0,0,0,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,524,0,0,9527,855,623,768,523,711,658,745,844,12834,642,0,49975,19804,83017,791,7253,30131,982,918,870,677,755,979,797,894,11195,947,42628,941,33669,58124
"ASV_12",15009,946,822,8423,4115,38301,704,6417,4335,766,5139,756,779,847,546,23154,13031,11253,2537,49340,15650,687,806,9521,3334,1830,17263,657,0,0,0,16356,9869,0,0,10376,12636,0,0,2906,0,6511,25560,0,11764,0,0,0,0,0,0,49662,37344,0,0,0,0,0,0,0,0,0,0,527
"ASV_13",0,8142,0,8220,0,0,0,0,0,0,0,0,0,0,0,0,0,5657,0,0,0,0,0,0,0,0,10033,0,664,0,0,0,607,695,0,588,0,573,548,0,567,4400,509,0,19431,596,0,642,551,32745,749,669,36370,55717,38505,23371,72834,611,23916,682,730,736,4808,817
"ASV_15",588,720,617,0,648,5581,577,9595,4757,6541,0,680,678,23965,0,641,17770,38939,628,549,6405,0,38501,6737,0,7475,594,45924,0,0,0,511,0,0,0,4440,0,0,0,14903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_18",13922,4308,0,1499,32426,11516,9563,26376,0,7752,5264,0,2879,0,0,0,565,6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23975,11148,1916,0,0,2739,3145,0,0,0,0,0,0,0,0,0,2878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_19",0,0,4704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10801,9182,0,7340,0,0,0,0,13784,0,7315,0,0,11456,0,7901,2843,0,0,35159,5719,0,0,0,0,0,47018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_21",7344,0,0,6675,3488,17498,0,0,0,4771,4263,0,5531,0,0,0,0,4381,0,9413,0,0,0,0,0,0,8121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27878,28317,0,0,0,0,0,0,0,0
"ASV_22",0,0,0,0,0,3299,4335,5341,2959,3475,0,11483,0,0,0,0,0,0,17587,0,3130,0,16053,9306,0,0,11007,0,0,0,0,0,0,0,19023,6681,12582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53001,23340,0,56385,0,0,0,0,0,0,0,0
"ASV_25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7126,41412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9029,13990,0,10903,0,0,0,0,15767,0,0,0,0,0,0,0,0,0,0,0,0,10134,0
"ASV_27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,47432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73909,0,0,0,0,0,0
"ASV_33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9465,16602,0,0,0,5575,0,0,0,0,0,0,0,0,0,0,25135,0,0,0,7220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_34",0,0,0,0,0,0,0,0,6454,0,0,22157,7212,0,0,0,0,0,0,10992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56078,0,0
"ASV_36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2475,3291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20333,0,0,0
"ASV_37",0,0,0,0,2796,1635,0,0,0,0,0,0,0,0,0,0,0,1489,9739,6961,0,0,1747,2169,0,0,0,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_41",0,0,12641,0,0,0,0,0,0,0,0,0,0,0,5729,0,0,5576,0,0,3752,0,4151,9975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4477,0,0,0,0,0,0
"ASV_43",0,0,0,0,0,0,0,6424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11816,0,7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4131,0,0,0,0,0,0,0,0
"ASV_47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3874,2751,8767,0,0,0,0,0,0,0,6650,0,0,1330,0,0,0,0,0,0,0,0,5498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_48",0,0,0,0,0,0,0,0,1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18707,0
"ASV_54",0,0,0,5827,0,0,0,0,0,0,0,0,0,0,0,0,0,9125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13268,0,0,0,0,0,0,5364,0,0,4394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_62",0,0,0,0,0,5269,0,17212,0,0,0,0,0,0,0,0,0,0,0,5546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10002,0,0,0,0,0,0,0,0,10296,0,0,0,0,0,0,0,0,0,0,0,1706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12743,0,0,0,5494,0,0,0,0,0,0,0,0,0,0,21861,0,0,0,0,0,14097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_66",0,0,0,0,0,0,0,0,1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23242,0,0,0,0,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_69",0,0,0,0,0,4759,0,0,0,0,3413,0,0,0,0,0,0,0,0,0,0,4555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2996,0,0,0,0,13757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_90",0,0,0,0,0,0,0,0,2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1661,0,0,0,0,0,0
"ASV_93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_106",0,0,0,0,0,1132,0,0,1943,0,0,0,1524,0,0,0,0,0,0,818,0,0,7005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1894,0,0,0,0,0,0,0,0,0
"ASV_108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2104,0,0,0,0,0,0
"ASV_114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3126,0,0,0,0,0,0,0,0,0,0,9452,0,0,0,0,0,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_122",0,0,0,0,0,0,0,8140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
