"","MP_T1Positive_S22_L001","MP_T1S1_S22_L001","MP_T1S2_S22_L001","MP_T1S3_S22_L001","MP_T1S4_S22_L001","MP_T1S5_S22_L001","MP_T1S6_S22_L001","MP_T1S7_S22_L001","MP_T1S8_S22_L001","MP_T1S9_S22_L001","MP_T1S10_S22_L001","MP_T1S11_S22_L001","MP_T1WC_S22_L001","MP_T1TC_S22_L001","MP_T3Positive_S22_L001","MP_T3S1_S22_L001","MP_T3S2_S22_L001","MP_T3S3_S22_L001","MP_T3S4_S22_L001","MP_T3S5_S22_L001","MP_T3S6_S22_L001","MP_T3S7_S22_L001","MP_T3S8_S22_L001","MP_T3S9_S22_L001","MP_T3S10_S22_L001","MP_T3S11_S22_L001","MP_T3WC_S22_L001","MP_T3TC_S22_L001","MP_T5S1_S22_L001","MP_T5S2_S22_L001","MP_T5S3_S22_L001","MP_T5S4_S22_L001","MP_T5S5_S22_L001","MP_T5S6_S23_L001","MP_T5S7_S23_L001","MP_T5S8_S23_L001","MP_T5S9_S23_L001","MP_T5S10_S23_L001","MP_T5S11_S23_L001","MP_T5WC_S23_L001","MP_T5TC_S23_L001","MP_T7S1_S23_L001","MP_T7S2_S23_L001","MP_T7S3_S23_L001","MP_T7S4_S23_L001","MP_T7S5_S23_L001","MP_T7S6_S23_L001","MP_T7S7_S23_L001","MP_T7S8_S23_L001","MP_T7S9_S23_L001","MP_T7S10_S23_L001","MP_T7S11_S23_L001","MP_T7WC_S23_L001","MP_T7TC_S23_L001","MP_T7S2_1_S23_L001","MP_T7S9_1_S23_L001","MP_T72_2_S23_L001","MP_T79_2_S23_L001","MP_June_S1_S23_L001","MP_June_S3_S23_L001","MP_June_S6_S23_L001","MP_June_S9_S23_L001","MP_June_C4_S23_L001","MP_June_C5_S23_L001","MP_June_Positive_S23_L001","MP_July_S1_S23_L001","MP_July_S3_S23_L001","MP_July_S6_S24_L001","MP_July_S9_S24_L001","MP_July_C4_S24_L001","MP_July_C5_S24_L001","MP_AS1_S24_L001","MP_AS3_S24_L001","MP_AS6_S24_L001","MP_AS9_S24_L001","MP_AC4_S24_L001","MP_AC5_S24_L001","MP_SS1_S24_L001","MP_SS3_S24_L001","MP_SS6_S24_L001","MP_SS9_S24_L001","MP_SC4_S24_L001","MP_SC5_S24_L001","MP_S_Positive_S24_L001","MP_JT1_S24_L001","MP_JT3_S24_L001","MP_ATPositive_S24_L001","MP_AT1_S24_L001","MP_AT2_S24_L001","MP_AT3_S24_L001","MP_AT4_S24_L001","MP_STPositive_S24_L001","MP_ST1_S24_L001","MP_ST2_S24_L001","MP_ST3_S24_L001","MP_ST4_S24_L001"
"ASV_1",997,18512,7255,5945,38243,1303,4386,9976,558,844,979,1569,93683,55591,873,14867,8968,24153,70569,18000,24014,62916,42321,35234,5568,71535,89231,57039,35349,21887,52418,52479,28726,65235,84345,110131,77505,84772,106027,72434,32426,49981,22910,10519,68718,67397,33924,80811,45551,81751,71714,47967,74251,35581,24499,137061,18784,128440,41514,55398,22351,30188,52429,28607,1423,74665,71328,32216,39565,16888,60521,29633,57690,37883,30659,27100,33976,50471,63792,5675,38339,24391,29601,680,14422,78078,1219,24454,22063,105230,9441,1327,34797,21548,69243,17579
"ASV_2",0,525,15775,23379,513,0,26289,40173,12385,38285,31070,49926,1076,670,0,19080,7156,0,3936,4088,33898,6243,0,11457,11299,3938,1902,572,0,0,3579,17260,12533,753,10400,2131,9927,9447,2466,4151,2432,38098,45699,553,23870,579,8551,585,13826,631,5858,16527,558,0,28416,815,20448,771,42903,514,29879,30618,0,14037,0,4631,737,0,0,0,0,7109,527,0,13145,0,15461,16733,19604,0,5794,0,4507,0,0,5527,0,6986,22595,5541,16352,0,32872,0,1841,0
"ASV_3",69565,14908,48677,0,0,0,0,0,0,0,0,95631,714,572,0,10815,9701,19972,5533,9184,0,0,0,0,0,8764,1457,4518,28599,35578,7274,6990,22903,23479,0,2466,0,514,0,2919,11027,0,0,38366,0,6353,0,0,0,0,7273,0,44658,0,15837,0,0,0,0,0,38807,15276,0,0,8769,7240,17563,4819,0,2570,5503,4841,0,24416,0,0,0,13421,577,5557,8139,502,3927,5277,27410,9282,4715,35274,28573,9072,0,5675,6374,0,0,16923
"ASV_4",0,0,0,13596,0,0,6787,0,4991,18606,0,0,0,69489,0,0,4642,0,9815,0,0,0,1471,0,0,24918,0,17894,0,0,1892,0,0,34379,8519,5781,61836,7177,13230,9081,15797,0,0,0,32185,9269,12139,21869,29373,0,26724,21950,0,5774,0,628,0,566,505,0,510,0,0,0,0,3241,510,705,15650,9357,25205,29093,597,582,30799,31937,40806,6998,24581,0,23048,21888,40361,0,566,14703,592,862,690,21247,12063,593,1077,4275,8080,0
"ASV_5",0,0,0,0,0,53585,10857,0,10912,39729,43230,0,619,0,0,6786,0,985,0,0,0,16056,0,0,19939,0,0,24449,5331,0,0,0,0,0,0,0,3149,23656,1462,5638,5383,563,0,0,0,3476,5408,0,4152,13143,0,0,0,0,0,521,0,0,23726,47403,32732,33819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10278,4707,11053,20250,0,6906,0,0,0,2587,6155,0,0,0,0,0,7172,1274,19107
"ASV_6",0,0,0,0,0,29494,0,4104,3739,0,0,0,0,0,0,12207,4017,2883,2602,3564,0,11900,0,0,5444,0,0,0,4521,12491,9486,13769,8840,0,2922,6345,0,29713,0,0,0,0,0,13656,517,5647,0,26816,7675,5864,5575,3626,0,0,0,517,0,7337,49713,0,9578,0,21968,17482,0,1859,15882,5135,6972,1183,5680,13134,0,16344,0,0,18469,0,0,0,22293,20260,0,0,5368,3578,15192,534,0,7648,5915,0,7229,4683,0,26576
"ASV_8",0,0,5497,0,0,0,0,0,0,0,0,0,53623,0,0,0,0,4327,0,0,0,0,1407,0,0,0,5039,5491,0,0,5180,0,0,0,0,0,0,0,0,31092,0,0,0,7753,0,0,0,0,0,0,0,0,0,0,19422,0,0,0,0,0,13214,0,0,17860,0,4795,6287,2963,0,7740,0,15814,22003,0,0,0,11875,0,0,54099,0,36870,4753,0,10455,0,0,0,0,513,0,0,22890,0,0,0
"ASV_9",0,0,0,0,0,0,17536,22944,13591,4463,0,0,0,0,0,0,2339,0,0,19979,0,3208,0,0,0,0,0,0,0,6722,0,0,9732,0,0,2984,0,0,0,0,0,0,28142,0,0,0,12908,10318,0,0,0,0,0,11212,0,0,0,0,0,0,0,0,28804,0,0,0,0,0,0,2411,20870,0,0,0,0,14553,0,20317,0,0,0,0,0,0,9462,0,0,0,17483,0,3186,0,0,0,4315,12224
"ASV_10",38840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3421,21697,1308,0,0,0,0,1942,9202,6721,5183,0,6379,3360,0,0,0,5490,0,0,926,0,0,0,0,1550,19999,15196,0,0,0,0,0,0,0,14926,0,0,0,0,0,43937,8574,0,0,0,0,0,0,0,0,0,1246,0,0,2254,0,0,0,0,0,0,0,0,0,0,0,0,0,3020,0,3173,5905,21411,2525,0,0,15928,18423,0,0
"ASV_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2365,0,17284,6754,0,0,0,1400,0,0,0,0,0,0,9586,5235,0,0,0,0,0,0,0,0,0,3582,0,0,65704,0,0,0,0,0,0,0,6752,0,1627,0,0,0,0,0,0,0,0,0,0,0,0,7636,2276,0,3683,0,5848,11032,6858,0,0,0,0,0,15999,0,0,0,0,0,0,0,12701,0,0,10593,0,0,0,0,0
