"","lat","long","replicates","sites","site_altname","controls","Datecode","Date","Year","Month","Day","Bayside","Station","Habitat","DO","Temperature","Salinity","Time","Weather"
"MP_T1Positive_S22_L001",NA,NA,"T1Positive",NA,NA,"positive",20240603,"6/3/24",2024,6,3,NA,NA,NA,NA,NA,NA,NA,NA
"MP_T1S1_S22_L001",40.83347403,-72.55252498,"T1S1",12,"12",NA,20240603,"6/3/24",2024,6,3,"WEST","PINE NECK","OPEN WATER",NA,NA,NA,"10:02","Sunny"
"MP_T1S2_S22_L001",40.83791502,-72.53677203,"T1S2",10,"10",NA,20240603,"6/3/24",2024,6,3,"WEST","WEST MID BAY","OPEN WATER",NA,NA,NA,"10:25","Sunny"
"MP_T1S3_S22_L001",40.82872904,-72.53193802,"T1S3",9,"9",NA,20240603,"6/3/24",2024,6,3,"WEST","DUNE ROAD","OPEN WATER",NA,NA,NA,"10:41","Sunny"
"MP_T1S4_S22_L001",40.84862902,-72.54801502,"T1S4",8,"8",NA,20240603,"6/3/24",2024,6,3,"WEST","WEST TIANA","OPEN WATER",NA,NA,NA,"11:12","Sunny"
"MP_T1S5_S22_L001",40.84659498,-72.50059901,"T1S5",4,"4",NA,20240603,"6/3/24",2024,6,3,"EAST","PONQUOGUE BRIDGE","OPEN WATER",NA,NA,NA,"11:43","Sunny"
"MP_T1S6_S22_L001",40.850855,-72.488632,"T1S6",3,"3",NA,20240603,"6/3/24",2024,6,3,"EAST","INLET","OPEN WATER",NA,NA,NA,"12:00","Sunny"
"MP_T1S7_S22_L001",40.86263903,-72.49350901,"T1S7",2,"2",NA,20240603,"6/3/24",2024,6,3,"EAST","CORMORANT POINT","OPEN WATER",NA,NA,NA,"12:18","Sunny"
"MP_T1S8_S22_L001",40.88104301,-72.48041698,"T1S8",1,"1",NA,20240603,"6/3/24",2024,6,3,"EAST","SHINNECOCK HILLS","OPEN WATER",NA,NA,NA,"12:35","Sunny"
"MP_T1S9_S22_L001",40.86852003,-72.47460597,"T1S9",13,"13",NA,20240603,"6/3/24",2024,6,3,"EAST","EAST MID BAY","OPEN WATER",NA,NA,NA,"12:50","Sunny"
"MP_T1S10_S22_L001",40.85579203,-72.45562004,"T1S10",11,"11",NA,20240603,"6/3/24",2024,6,3,"EAST","SOUTH GRASS","OPEN WATER",NA,NA,NA,"1:08","Sunny"
"MP_T1S11_S22_L001",40.87629701,-72.45737102,"T1S11",7,"7",NA,20240603,"6/3/24",2024,6,3,"EAST","LITTLE POND","OPEN WATER",NA,NA,NA,"1:29","Sunny"
