ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Streptophyta	Klebsormidiophyceae	Klebsormidiales	NA	NA	NA
ASV_10	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	NA	NA
ASV_100	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	NA	NA
ASV_1000	Eukaryota	Oomycota	Peronosporales__c	NA	NA	NA	NA
ASV_10000	Eukaryota	Porifera	Homoscleromorpha	NA	NA	NA	NA
ASV_10002	Eukaryota	Streptophyta	Magnoliopsida	NA	NA	NA	NA
ASV_10003	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	NA	NA	NA
ASV_10007	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	NA	NA	NA
ASV_10008	Eukaryota	Discosea	Longamoebia__c	NA	NA	NA	NA
ASV_10010	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA	NA	NA
ASV_10011	Eukaryota	Cnidaria	Hydrozoa	NA	NA	NA	NA
ASV_10014	Eukaryota	Arthropoda	Arachnida	NA	NA	NA	NA
ASV_10016	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	NA	NA	NA
ASV_1002	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	NA	NA	NA
ASV_10020	Eukaryota	Oomycota	Pythiales__c	Pythiales	NA	NA	NA
ASV_10022	Eukaryota	Arthropoda	Insecta	Hemiptera	NA	NA	NA
ASV_10023	Eukaryota	Phaeophyceae__p	Phaeophyceae	Dictyotales	NA	NA	NA
ASV_10024	Eukaryota	Discosea	Longamoebia__c	Longamoebia	NA	NA	NA
ASV_10025	Eukaryota	Oomycota	Peronosporales__c	Peronosporales	NA	NA	NA
ASV_10026	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	NA	NA	NA
ASV_10028	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	NA	NA	NA
ASV_10029	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10030	Eukaryota	Oomycota	Saprolegniales__c	Saprolegniales	NA	NA	NA
ASV_10031	Eukaryota	Mollusca	Gastropoda	Stylommatophora	NA	NA	NA
ASV_10032	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	NA	NA	NA
ASV_10033	Eukaryota	Oomycota	Saprolegniales__c	Saprolegniales	NA	NA	NA
ASV_10034	Eukaryota	Arthropoda	Arachnida	NA	NA	NA	NA
ASV_10035	Eukaryota	Arthropoda	Insecta	Lepidoptera	NA	NA	NA
ASV_10036	Eukaryota	Raphidophyceae__p	Raphidophyceae	Haramonas__f__o	Haramonas__f	NA	NA
ASV_10037	Eukaryota	Rhodophyta	Florideophyceae	NA	NA	NA	NA
ASV_10038	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10039	Eukaryota	Oomycota	Saprolegniales__c	Saprolegniales	NA	NA	NA
ASV_10042	Eukaryota	Oomycota	Peronosporales__c	Peronosporales	NA	NA	NA
ASV_10043	Eukaryota	Oomycota	Saprolegniales__c	Saprolegniales	NA	NA	NA
ASV_10044	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10045	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10046	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_10047	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	NA	NA	NA
ASV_10050	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	NA	NA	NA
ASV_10051	Eukaryota	Oomycota	Peronosporales__c	Peronosporales	NA	NA	NA
ASV_10052	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_10053	Eukaryota	Rhodophyta	Florideophyceae	NA	NA	NA	NA
ASV_10054	Eukaryota	Cnidaria	Hydrozoa	NA	NA	NA	NA
ASV_10055	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	NA	NA	NA
ASV_10056	Eukaryota	Oomycota	Pythiales__c	Pythiales	NA	NA	NA
ASV_10057	Eukaryota	Oomycota	Pythiales__c	Pythiales	NA	NA	NA
ASV_10058	Eukaryota	Rhodophyta	Florideophyceae	Corallinales	NA	NA	NA
ASV_10059	Eukaryota	Porifera	Demospongiae	Axinellida	NA	NA	NA
ASV_1006	Eukaryota	Arthropoda	Arachnida	Araneae	NA	NA	NA
ASV_10060	Eukaryota	Arthropoda	Malacostraca	NA	NA	NA	NA
ASV_10062	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	NA	NA	NA
ASV_10063	Eukaryota	Arthropoda	Malacostraca	Mysida	NA	NA	NA
